链接,标题,评分,短评数量
https://movie.douban.com/subject/1292052/,"恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》策划了19年的私奔……Fear Can Hold You Prisoner, Hope Can Set You Free人的生命不过是从一个洞穴通往另一个世界..然后在那个世界的雨中继续颤抖.i hope因为1994年台湾引进了一部比较卖座的老片The Sting，被错译成了《刺激》。到了1995年本片上映时，片商觉得其剧情与《刺激》有类似的地方（大概都属于高智商的复仇？），因此被译成了《刺激1995》，1998年又有一部片子Return To Paradise因为含有牢狱情节，被译成《刺激1998》！",肖申克的救赎,9.7,1912847
https://movie.douban.com/subject/1291546/,"说好了一辈子，少一年、一天、一个时辰，都不是一辈子。他竟当面一语点破：虞姬是真虞姬，霸王是假霸王。就凭这个，我愿意原谅陈凯歌一切的烂片 你只要伟大过一次就可以了 就凭这个 哥哥你是我心中永远不朽的传奇 你是全世界最大的角儿君王意气尽 贱妾何聊生蝶衣于台上贵妃醉酒，头顶忽撒下无数抗日传单。灯骤灭，台下喧哗。没有人再顾及台上的贵妃。唯有蝶衣，继续着未尽的绝美舞步丝毫未曾停滞。一片混乱之中，也唯有四爷，独自于楼上包厢继续丝毫未曾分神。看到这里感动的一塌糊涂。结尾处“我本是男儿郎,又不是女娇娥”真的落泪了。纯粹坚持的2人去了",霸王别姬,9.6,1406266
https://movie.douban.com/subject/1292720/,"妈妈说，生活就像一盒巧克力……请不要再续下一句，耳朵听的起了茧子。Mama always said life was like a box of chocolates. You never know what you're gonna get.you are my girl.
傻人有傻福，实际上并不是这样的。在我看来，阿甘的妈妈才是最伟大的人。很多普通人把低智商的孩子早早就放弃了，不让上学，不与别人接触，也许是为了保护自己的孩子，但是这样以后孩子就等于废了……他的十二支船，每一支都是她的名字。她走后，他只得跑遍世界的每一个湖泊和沙漠来思念她，只等她一声召唤便死心塌地的回到她的身边。好莱坞编造一个这么纯粹的故事，让我们看到我们所拥有的感情，是多么的残破不堪。这简直是残忍的，不道德的。",阿甘正传,9.5,1454006
https://movie.douban.com/subject/1295644/,"一半的魅力来自反派：Gary Oldman.我开始想要过得快乐，睡在床上，有牵挂我没啥感觉的公认好片。Léon： You're not going to lose me. You've given me a taste for life. I wanna be happy. Sleep in a bed, have roots. And you'll never be alone again, Mathilda. Please, go now, baby, go. Calm down, go no...我到哪里找，像你这么好。",这个杀手不太冷,9.4,1650112
https://movie.douban.com/subject/1292063/,"喜剧的开始，悲剧的结束，
满满的亲情，无限的父爱绝对难忘的一部片子----影片结尾美国大兵的那句 hei! boy! 叫人已经凉透了的心又感到了温暖。即使是悲惨世界,也要大大的笑着.乐观的态度,持久的爱情，伟大的父爱,在这种残忍的践踏中表现出来才让人如此的动容,一定不会忘了这位犹太青年世界上最美丽的谎言与微笑。Surprise her, forever!",美丽人生,9.5,922558
https://movie.douban.com/subject/1292722/,那对对死无所畏惧的老夫妇，那个不为外界干扰的乐队，那个为生而做一次假父亲的男人，那个为爱人吹响口哨的女人。都是为了一种心灵上的执着。永远是我在电影院所看过最好的电影一部应该被记住的电影.1998年，哈尔滨火车站地下给初恋女友买的盗版光盘。第一次看到沉船，第一次看到正面全裸，第一次看到伟大的爱情，第一次...,泰坦尼克号,9.4,1398943
https://movie.douban.com/subject/1291561/,"每次看这些神作的时候想到这是动画片这是一群牛人一笔一笔画出来的,就觉得漏看掉一帧都实在是对不起他们啊你忘了吗?
往下飞的时候眼泪是往上流的.又是个成人动画,估计大部分中国观众很难体会什么.我与猪都认可的片儿。有一点模糊的小爱情...小白龙报恩，千寻想起了她自己及小情人儿的名字。帮客人洗澡，小煤球儿来回跑。这些经历给我多好玩儿，我一定不会变成大猪，不乱吃东西，给客人洗得干干净净。小白龙永远跟我好^^回到14岁：）",千与千寻,9.3,1494181
https://movie.douban.com/subject/1295124/,印象很深刻的是黑白画面中的红色。不仅仅是犹太人，而是整个人类的悲剧。我哭死算了我“你从来不喝醉，那是绝佳的自制力。自制力就是权力。” “权力是当我们有绝对的理由去杀一个人的时候，我们却不那样做。那是古代帝王风范。那才是权力。”不管有多少争议，在艺术上这是一部无可替代的作品。我们如何才能做出一部让外国人认同的关于南京大屠杀的电影呢？,辛德勒的名单,9.5,744069
https://movie.douban.com/subject/3541415/,我的陀螺停不下来了。一直在牛逼，从未被超越。只有Nolan才能达到这种境界！！！Nolan给了我们一场无法盗取的梦。确实挺好看。人人都在评论这片，我也评不出个鸟来了。因为《盗梦空间》这片，中国人民已经陷入了智商无限的癫狂幻想之中。人人都觉得自己的解释最牛逼，人人都觉得自己是哲学家，是心理学家，是数学家，是诺兰的知己。迷离失所，戏假情真！,盗梦空间,9.3,1401719
https://movie.douban.com/subject/3011091/,被狗狗的一往情深击倒，和老公两个哭得稀里哗啦。今天抱着家里的狗亲了一天。“等有一天它会给你捡球的时候，一定有什么特殊的理由” 八公用这种方式来告别了他的主人....纸巾抽到还剩最后一张想起回家的出租车上的广播，一对老夫妇丢失了狗狗寝食难安不知道该怎么生活，他们女儿在广播里说抱了狗的人，你们要是卖我们再买回来。尤其是她妈妈现在整个人都吃不下饭了，他们年纪大了，狗狗就是他们的生活寄托啊。【我已经使劲克制自己不哭了，但还是不行。】....明早眼睛又肿了,忠犬八公的故事,9.4,963434
https://movie.douban.com/subject/1292001/,一个人到底需要多大的世界呢？最喜欢的电影，喜欢，不是之一，而是唯一 每天睁眼，去面对这个世界都需要勇气。键盘有始有终，你确切知道 88 个键就在那儿，错不了。它并不是无限的，而你，才是无限的。你能在键盘上表现的音乐是无限的，我喜欢这样，我能轻松应对，而你现在让我走过跳板，走到城市里，等着我的是一个没有尽头的键盘，我又怎能在这样的键盘上弹奏呢？那是上帝的键盘啊！我想有些东西只是能在特定的环境下生长。当环境变了，其他的一切都会变。,海上钢琴师,9.3,1164495
https://movie.douban.com/subject/2131459/,我看哭了。。。浪漫得一塌糊涂，像废墟中开出的花，像牵手散步的下午，像世上所有伟大的爱情。人类在这个片子里面是处于完全被嘲笑的位置。（其实应该说美国人？）片中的超大型连锁企业BNL在未来已经统一了所有的商业领域。而人类堕落成完全依靠电脑的帮助才能吃喝拉撒的胖子们。而且从小就接受电脑的教育要消费消费再快点消费。这个世界虽然没有Matrix的灰暗，但是其实相差不远。好在人类并非丧失了本性，只是“遗忘”了而已。而Wall E和Eva的出现就提醒了他们还有一个“家”，虽然已经满目疮痍，在等待着...清纯乡下少男与前卫暴力冰美人的爱情故事啊～xixi堪称完美的动画作品。,机器人总动员,9.3,924718
https://movie.douban.com/subject/3793023/,"这几个月来看过的最好的片——”做自己“，也许才是人生终极的成功。别总嘲笑印度人”阿三“，他们已经追上来了，无论经济、科技还是我们一贯认为只会跳舞唱歌的宝莱坞电影。盛赞！5+1星！【温馨提示：请忽略这傻逼名字.不然你会错过一部好电影】1、病毒的鸟巢飞来了一只自由之鸟；2、Ta有没有告诉你,朋友就是给你一枚硬币教你自己独立做出选择的那个人.这个人才是你最大的财富 ：）活在当下，不记得失，以无为之心做有为之事，你收获的会是比物质更珍贵永恒的生命体验。第一次完整看完一部印度片。中国不如。六星都不够。最后男主角戴眼镜那个形象好像吴彦祖！",三傻大闹宝莱坞,9.2,1288410
https://movie.douban.com/subject/1292064/,“如果再也不能见到你，祝你早安，午安和晚安。”就算是已经完全知道剧情走向也还是被震撼被感动。就算你能摄影我的一切也无法在我脑内安装摄影机。看的时候甚至有种绝望的情绪，这个世界有时就是这么的令人无助要想阻挡我 只有杀我打开这道门，即便现实再最肮脏也请让我自己感受！关掉你的镜头，即使现实再无奈你也必须自己体验！,楚门的世界,9.3,1025322
https://movie.douban.com/subject/1291549/,一个孩子在启蒙时期，能够遇到一位好的老师，真的是一件非常幸运的事情。这是一次心灵的洗礼，没人生本向恶，只是无情的手把人推向了无尽的深渊。Morhange每一次天使般的独唱，总让我感动的浑身直起鸡皮疙瘩，特别是那纸飞机从窗口飞出，“感谢、再见”的小手一挥，那份感动，不言而喻。而最重要的，看这部电影不仅是好“看”，天籁的童声更是听觉的享受。★★★★☆不知道为什么，没多大感触。看开头第一眼我就知道我喜欢。从来没有教不好的学生只有不会教的老师。人与人之间的交流是用心的，在我看着你的眼睛的时候我知道你是真心为我着想的，所以我才愿意选择相信。就这样。看一部好电影的感觉像是给心灵洗了一个热水澡。从里到外都会感觉到清澈的感觉。所以我一直坚信最好的教育人才应该放在学前教育和初等教育。小学老师对孩子的未来产生的影响远大于大学老师。可现状却是，大批自己都没学会怎么做人的人被随随便便扔到了小学、初中做老师，放纵霸凌，根据权势财势“因材施教”，惩罚性教育，把孩子逼上绝路就让天性不良背锅，呸。,放牛班的春天,9.3,897153
