title,score,score_num,short1,short2,short3,short4,short5
红楼梦,9.6,"(
                    257669人评价
                )","

.intro p{text-indent:2em;word-break:normal;}


《红楼梦》是一部百科全书式的长篇小说。以宝黛爱情悲剧为主线，以四大家族的荣辱兴衰为背景，描绘出18世纪中国封建社会的方方面面，以及封建专制下新兴资本主义民主思想的萌动。结构宏大、情节委婉、细节精致，人物形象栩栩如生，声口毕现，堪称中国古代小说中的经 典。 由红楼梦研究所校注、人民文学出版社出版的《红楼梦》以庚辰（1760）本《脂砚斋重评石头记》为底本，以甲戌（1754）本、已卯（1759）本、蒙古王府本、戚蓼生序本、舒元炜序本、郑振铎藏本、红楼梦稿本、列宁格勒藏本（俄藏本）、程甲本、程乙本等众多版本为参校本，是一个博采众长、非常适合大众阅读的本子；同时，对底本的重要修改，皆出校记，读者可因以了解《红楼梦》的不同版本状况。 红学所的校注本已印行二十五年，其间1994年曾做过一次修订，又十几年过去，2008年推出修订第三版，体现了新的校注成果和科研成果。...(展开全部)
","

.intro p{text-indent:2em;word-break:normal;}


曹雪芹,（？-1763，一作1764）清小说家。名霑，字梦阮，号雪芹、芹圃、芹溪。为满洲正白旗“包衣”人。自曾祖起，三代任江宁织造，其祖曹寅尤为康熙帝所信用。雍正初年，在统计阶级内部政治斗争牵连下，雪芹家受到重大打击，其父免职，产业被抄，遂随家迁居北京。他早年经历了一段封建大官僚地主家庭的繁华生活，后因家道衰落，趋于艰困。晚期居北京西郊，贫病而卒，年未及五十。性情高傲，嗜酒健谈。具有深厚的文化修养和卓越的艺术才能。他生活在我国已有资本主义生产萌芽的封建末世，在其后期又有机会接触到下层人民，因而对当时社会阶级斗争和思想斗争有较具体的感受，看到了统治阶级的腐朽凶残和内部的分崩离析。曾以十年时间，从事《石头记》（即《红楼梦》）的创作。书中通过一个贵族官僚大家庭的盛衰历史的描写，塑造了许多典型人物形象，对当时社会的黑暗腐败，进行了深刻的解剖和批判，并热情地歌...(展开全部)
",长这么大，到今天才把这部奇书读完。觉得并没有那么多微言大义，倒是曹雪芹的文笔实在了得，对人的那些细腻情感拿捏得十分到位。特别想说的一点是，坚决认为林黛玉不能算是什么完美的理想主义者，她非但不完美，而且是毛病最大的一个。所有的问题又都归结于三个字——看不开！,宝钗这样识大体明事理的，的确宜家宜室适合娶回来，黛玉这样有才情又爱耍小性子的才让人爱，只是刻薄多心又爱动气的姑娘真是叫人喜欢不起来啊。还好，红楼梦本来就不是叫你去爱上哪一个人物的，大概每个人都有她可爱之处。,重新遇到这本书果真是生活中太棒的习得，真的是该当圣经来读的一本书。知道归知道，执着归执着。《红楼梦》的迷人就在于此。她知道所有都是空的，但她在每一刻都执着。每个人生阶段都能读出新的体会。感谢中国有这么好的书。
活着,9.4,"(
                    417932人评价
                )",意外的好读，应该是我读过的国内小说里最好读的，没有之一。读完一直纠结“有必要这么惨吗！”平静下来想想，确实可能这么惨。只能说，还好改革开放了。感谢邓小平。,我看着那条弯曲着通向城里的小路，听不到我儿子赤脚跑来的声音，月光照在路上，像是撒满了盐。,朴素的语言描述了福贵的一生，经历了中国的各个时期，内战、人民公社、文化大革命，福贵还活着，陪他经历这一切的人却纷纷逝世，老的、少的，都顷刻湮没在历史中。中文中的这两个字：活着，太贴主题，不是生活，不是苟活，就是活着。,余华的笔法是残忍而善良的。福贵的命运仿佛神话悲剧一般不可违抗，在旁观者我的视角里不断苦熬着，而作为＂你一生的故事＂中自身的叙述者，他有只是那个灾难时代的普通人一般生活着。末了哼着＂少年去游荡，中年想掘藏，晚年做和尚＂消失在视野中时候，作者又给予读者一丝安慰：活着的意志，是他唯一没被夺走之物。人生对他而言，“窄若手掌又宽若大地”。,读起来太顺畅，经典就是经典
百年孤独,9.2,"(
                    264741人评价
                )",庆幸是在我22岁的时候读到，没有太晚,家族的第一个人被捆在树上，最后一个人正被蚂蚁吃掉。,费尔南达真他妈烦人,开始很吃力，越读越上瘾。 惊人得叙事与潮水版的叙事，野兽般撕开真理得外衣。  原来那句经典的开场白，源自这本书。从四姑娘的第一本书，也就开始了他的抄袭生涯。,一口气读完但却没有能力评价。
1984,9.3,"(
                    127352人评价
                )","

.intro p{text-indent:2em;word-break:normal;}


乔治•奥威尔（1903-1950），                                                                         英国著名作家。主要作品有《动物农场》、《1984》等。 1903年出生于印度，1907年举家迁回英国，后因经济原因无力深造，被迫远走缅甸，参加帝国警察部队。终因厌倦殖民行径、痴迷写作而辞去公职，辗转回到欧洲，流亡伦敦、巴黎等地，一边深刻体验下层民众生活，一遍从事文学创作，有多部作品出版。1936年西班牙内战爆发，参加左翼组织，因重伤返回英国，但最终树立社会主义信念。1939年，二战爆发，积极参加反纳粹的活动。由于西班牙内战与二战的苦痛经历，对战争与和平、极权与民主、社会关怀与人类理想进行了深刻的思考。 1945年，著名的政治寓言小说《动物农场》出版。1949年，《1984...(展开全部)
",奥威尔表达观点的心情是如此强烈，于是，艺术屈从于政治，作为小说的《1984》，其实挺贫乏的。至于观点本身，《1984》是一个寓言，走向了极致之后，生活里总有片段可对应。而我们往往只看到了自己的碎片，感性大过理性，不知不觉地，我们自己想象出了一个老大哥，一厢情愿地认为，这是真理，这是事实，而且是有中国特色的事实。我想这是误解，奥威尔如果真的只是如此狭隘，那么，故事的发生地完全可以是欧亚国，而不会是大...,最爱的书没有之一。迄今为止读过七遍，但是仍然还有非常多觉得困惑和不解的地方，这些疑惑是我更加深入地去了解历史和查阅资料的动力，由此也将我带到了一个更为广阔和残酷的领域，关于政治，关于人性。这本书带给我和教会我的东西实在太多太多，并且将终生受用。,这遍读的感受在于发现：爱情和集权政治的共同点是：献身！,孕期看这本书是有点压抑，但确实很难放下。昨天合上书时，电视里宋祖英正在宏大的布景里唱爱我中华，恍如隔世。
飘,9.3,"(
                    142881人评价
                )",我读的第一个长篇小说.,我能说“tomorrow is another day.” 这句话对我人生影响很大吗？,年长的读者，比照自己的人生、经历，假想如果可以重来，如何选择。那些年青人容易为之虔诚、激动、战斗的信念，如今已明白不过是诸多可能中的一种。大多数人无法坚持年轻时的信念，坚持追逐那时候的梦想，所以即便你做不到，也无须害臊。但也因此，那少数的一些人，才弥足珍贵，让人为之心折。但是，大概也就是与书为伴的几个瞬间而已，你产生了也想拥有他们那些美德、高贵人格的想法，当你合上书后，纷繁的俗世扑面而来，一个个近...,我认为本书唯一值得称赞的人是梅兰妮，一个真正的勇士、一个坚毅的妻子、一个称职的妈妈、一个挚友。,关于这本书，摘抄做了几大面，更不用说一些零零碎碎的注释分析，似乎足以写下一篇冗长但满怀真诚的书评。可是提笔时却发现，这一切都关于母亲曾告诉我的故事，关于爱和奢望，关于战争和毁灭，关于奋斗和牺牲，关于暗流汹涌的意识形态斗争和虚伪的和平。有太多的话可以说，又怎么样都说不完。
三体全集,9.4,"(
                    24593人评价
                )","

.intro p{text-indent:2em;word-break:normal;}


三体三部曲 (《三体》《三体Ⅱ·黑暗森林》《三体Ⅲ·死神永生》) ，原名“地球往事三部曲”，是中国著名科幻作家刘慈欣的首个长篇系列，由科幻世界杂志社策划制作，重庆出版集团出版。小说讲述了文革期间一次偶然的星际通讯引发的三体世界对地球的入侵以及之后人类文明与三体文明三百多年的恩怨情仇。三体三部曲出版后十分畅销，并深受读者和主流媒体好评，被普遍认为是中国科幻文学的里程碑之作，为中国科幻确立了一个新高度。 《三体》 文化大革命如火如荼进行的同时。军方探寻外星文明的绝秘计划“红岸工程”取得了突破性进展。但在按下发射键的那一刻，历经劫难的叶文洁没有意识到，她彻底改变了人类的命运。地球文明向宇宙发出的第一声啼鸣，以太阳为中心，以光速向宇宙深处飞驰…… 四光年外，“三体文明”正苦苦挣扎——三颗无规则运行的太阳主导下的百余次毁灭与重生逼迫他们逃离母星。而恰在此时。他...(展开全部)
","

.intro p{text-indent:2em;word-break:normal;}


刘慈欣，祖籍河南，长于山西，中国科普作家协会会员，山西省作家协会会员，高级工程师。 自1999年处女作《鲸歌》问世以来，发表短篇科幻小说三十余篇，出版长篇科幻小说七部，并创下连续八年荣获中国科幻最高奖“银河奖”的纪录。其气势恢宏的“地球往事”系列第一部《三体》开创了《科幻世界》月刊连载原创作品之先河，一举成为2006年度最受关注、最畅销的科幻小说。2008年，“地球往事”系列第二部《黑暗森林》面世，再次成为当年最畅销的科幻小说。2010年，“地球往事”系列第三部《死神永生》出版，一举拿下该年度中国科幻“银河奖”特别奖、全球华语科幻“星云奖”最佳长篇奖。刘慈欣亦因此被评论界誉为“21世纪中国文坛最值得关注的作家”。 刘慈欣的作品恢弘大气、想象绚丽，既注意极端空灵与厚重现实的结合，也讲求科学的内涵与人文的美感，具有浓郁的中国特色和鲜明的个人风格，为中国科...(展开全部)
",这么个硬核的科幻是怎么装下了程心这朵白莲花婆娘的…,大刘，你打开了一扇门，门外的世界一片黑暗，这黑暗中蕴藏的故事，永远讲不完。,实在不喜欢他写东西的调调……
三国演义（全二册）,9.2,"(
                    109512人评价
                )","

.intro p{text-indent:2em;word-break:normal;}


《三国演义》又名《三国志演义》、《三国志通俗演义》，是我国小说史上最著名最杰出的长篇章回体历史小说。 《三国演义》的作者是元末明初人罗贯中，由毛纶，毛宗岗父子批改。在其成书前，“三国故事”已经历了数百年的历史发展过程。在唐代，三国故事已广为流传，连儿童都很熟悉。随着市民文艺的发展，宋代的“说话”艺人，已有专门说三国故事的，当时称为“说三分”。元代出现的《三国志平话》，实际上是从说书人使用的本子，虽较简略粗糙，但已初肯《三国演义》的规模。罗贯中在群众传说和民间艺人创作的基础上，又依据陈寿《三国志》及裴松之注中所征引的资料（还包括《世说新语》及注中的资料），经过巨大的创作劳动，写在了规模宏伟的巨著——《三国志通俗演义》全书24卷，240回。后来经过毛纶，毛宗岗父子批改，形成我们现在所见的《三国演义》120回版       由于人文出版社选取的毛批版本和...(展开全部)
",通篇都是权谋，文争武斗。其中，最有心计、最会骗人者，称王称圣称君主；最有武功、最会杀人者，称侠称将称英雄。尔虞我诈、杀人如麻都不算事，只要贴上某一种道德标签，比如“忠”，比如“义”，不论它是如何的卑鄙与残忍，都可以变得正大光明，足以垂范后世。历史不过如此。,我觉得，是个男的，中意这本书都不需要神马理由。,是中国人不能不看,这书我看得特慢，只要出现一个地名我就想在谷歌地形图上给找出来，然后细细从战略层面揣摩用兵之道。特别是街亭之战，光在地图上找到街亭这个屯兵的小谷道就花了不少功夫，刚开始始终想不明白这个离汉中十万八千里的地方到底哪儿重要，后来研究了下才知道古时天水通长安的道路并非沿渭水河谷顺流而下，而是走官陇古道，街亭正处于古道的咽喉之处，蜀丢街亭就意味着把背后留给了魏国，腹背受敌，命都难保。总之这本书值得对着地形图...
白夜行,9.2,"(
                    212685人评价
                )","

.intro p{text-indent:2em;word-break:normal;}


东野圭吾万千书迷心中的无冕之王 周刊文春推理小说年度BEST10第1名 本格推理小说年度BEST10第2名 《白夜行》是东野圭吾迄今口碑最好的长篇杰作，具备经典名著的一切要素： 一宗离奇命案牵出跨度近20年步步惊心的故事：悲凉的爱情、吊诡的命运、令人发指的犯罪、复杂人性的对决与救赎…… ------------------------------------------------------------------- 1973年，大阪的一栋废弃建筑中发现一名遭利器刺死的男子。案件扑朔迷离，悬而未决。 此后20年间，案件滋生出的恶逐渐萌芽生长，绽放出恶之花。案件相关者的人生逐渐被越来越重的阴影笼罩…… “我的天空里没有太阳，总是黑夜，但并不暗，因为有东西代替了太阳。虽然没有太阳那么明亮，但对我来说已经足够。 凭借着这份光，我便能把黑夜当成白天。 我从...(展开全部)
",张无忌的妈妈也说过 不要轻易相信漂亮女人 她们的演技和城府都是你无法想象的 无删减版本比之前的版本多了关于性的描写 阴茎和乳房等词汇也直接被接纳进来 前十章用来构建人物关系和埋下案件伏笔 从第十章开始抽丝剥茧地隐现真相 枪虾和虾虎鱼（雪穗和桐原）的关系日渐明朗 遗憾的是关于后半段作者的笔锋开始出现倦怠 没有给出很完整明确的指示或者暗示 对于最后整体的真相的揭露也并没有很吃惊 除了娈童之外 其他的因...,看完这本觉得再也不会看东野圭吾了……（豆瓣闲人和煞笔真的很多，四星不会看吗？豆油太多不得不解释一句，这个短评的意思是：这是东野圭吾的巅峰之作集大成之作，再看其它的觉得显得太轻薄套路了，别豆油我了，有病吗？就算我不喜欢你喜欢的书又怎样啊？）,心理变态男女杀人放火互利共生的糟心故事 突然想起宫斗剧台词。。再冷 也不该用别人的血来暖自己,虽然精彩文笔老辣，但是读到一半就为里面透露出的残酷感到阵阵恶寒，有人说里面有爱情甚至还有人感动，但我真的觉得连爱情也无法救赎他们，如此变态扭曲的内心且多次作恶让我对此无法有任何宽容度，我甚至在读到其中一部分时有些反胃的不适感，但它是个精彩的故事，文笔深厚，在一段历史的走廊里细致勾勒了群像，等读完了故事，除了感叹也会留下深刻印象，对那个年代，对那些人，对这复杂的感情。我能理解人性在白夜中赤裸裸暴露出...
福尔摩斯探案全集（上中下）,9.2,"(
                    83042人评价
                )",我最爱的侦探小说！！！！！,少年时一篇不漏地看完  那时候怎么会有那么多时间,历时3个月，带着它走过2个国家，9座城市，终于重温了福尔摩斯全套书籍。由于第一次读的时候是小时候，并且只读了一两本，所以记忆并不深刻。在各种影视化作品和当代推理小说已经不能满足我的时候，大师的经典之作让我重拾对推理的热情。对人物的描写，对场景的建模，加之对推理过程的精细解读，同时又不失故事的趣味性，真可谓是侦探小说之楷模。,比3星低一点再低一点.。,这个应该是我人生中第一套书。。。。刚会认字，还不知道“犹他州”（印象深刻）为何物的时候，就在看男主角们搞基了，情何以堪。。。
动物农场,9.2,"(
                    77806人评价
                )","

.intro p{text-indent:2em;word-break:normal;}


乔治·奥威尔（George Orwell），本名埃里克·亚瑟·布莱尔（Eric Arthur Blair）。1903年生于印度，当时，他的父亲在当地的殖民地政府供职，用他自己的话说，他家属于“中产阶级的下层，或没有钱财的中产家庭”。 1904年，由母亲带他先回到了英国。他自幼天资聪颖，11岁时就在报纸上发表了一篇诗作《醒来吧，英格兰的小伙子们》。14岁又考入著名的伊顿（Eton）公学，并获取了奖学金。但早在小学时期，他就饱尝了被富家子弟歧视的苦涩，从他后来的回顾中可以看出，凭他那天生就很敏感的心灵，这时已经对不平等有了初步的体验。 1921年，布莱尔从伊顿毕业后考取了公职，到缅甸当了一名帝国警察，在那里，被奴役的殖民地人民的悲惨生活无时不在刺激着他的良知。看着他们在饥寒交迫中、在任人宰割的被奴役中挣扎，他深深感到“帝国主义是一种暴虐”。身为一名帝国警...(展开全部)
",实在是这样。想分清“猪”和“人”太难了。活的最好的还是老本杰明那样的。,如果每个愤青都能有这么深刻清晰的思考和认知，那“愤青”就不会像现在变成“傻逼”的同义词了。  小说写的特别特备特别牛逼，不愧是经典哇~,这回我彻底相信林彪是被冤枉的了；至于其他感想，呵呵,非常好的政治寓言，让我相信只要看清事物运行的规律，预知不是件难事，完全可以尝鼎一脔便知肉味，实际上过去的这个世纪物质生产力完全hold不住供铲，所以供铲猪姨国家或者用白色恐怖与血腥屠戮威慑住人们心中的不满，如红色高棉苏联肃反与温格，或者调整自己的策略，在大前提不变的前提下变通，使自己不落后时代太远，如改革开放，两者都有风险，前者如今幸存的国家只有在宗主国照拂下的朝鲜，而后者的风险就是东欧剧变纷纷易...
