title,score,number reviews,comment list hot
红楼梦,红楼梦,9.6,"['盛衰之理，本为天命。然而人心就是如此。眼见得他起高楼，于是便不忍心见他楼塌了。见过他鼎盛的时候，再看他的衰败就无比心酸。而更加可悲的是，目睹这场哗变的你，本就是这戏中之人。', '第一次看《红楼梦》，是小学五年级。因所有人都说，这是部名著，于是，期末考后，怀着极大的敬意与耐心，准备好好下番苦功夫。不曾想，从头到尾，一点不打绊儿地，没花多长时间，就囫囵吞枣地顺利看完，幼小心灵还因此生出些疑问：怎么一点儿不象名著呀，即不难懂，也不深刻，不就是些家长里短的故事集锦吗！\r\n\r\n    留下印象的，不是爱情纠葛，不是阶级矛盾，不是白茫茫一片真干净，而是当时粗糙日常生活中，一些根本无法想象的精美事物：比如，一些菜品，要经过如此多复杂细致的步骤，才能一点点做出；比如，一些庭院宅子，院名的起法，树木的搭配，房子的色彩，有那么多讲究；比如，一些好听的布料名，一些古怪材质的饰品，一些用途不明的摆设；再比如，闲谈，对诗，饮茶……才知道，原来人可以这样生活，可以这样打发时间，而不被视为浪费生命，也无需心下内疚，有些无法理解，又有点儿想入非非。\r\n\r\n    这或许是文学的另一个用处，让人从踏实细节处，活生生触摸到一个时代的体温。只是后来，每当我跟人说起，《红楼梦》对我来说，就是故事会，就是菜谱与家居指南时，十个会有九个半露出惊讶表情，让我觉得自己，可真没文化！\r\n', '亲戚是干什么用的大全', '长这么大，到今天才把这部奇书读完。觉得并没有那么多微言大义，倒是曹雪芹的文笔实在了得，对人的那些细腻情感拿捏得十分到位。特别想说的一点是，坚决认为林黛玉不能算是什么完美的理想主义者，她非但不完美，而且是毛病最大的一个。所有的问题又都归结于三个字——看不开！', '一个呼吁：那些清穿小说的主人公你们风花雪月以后就不能顺道送曹雪芹个打印机么？']"
活着,活着,9.4,"['读《活着》的过程我很平静，除了有庆献血而死的描述让我呼吸急促。在那个年代像福贵式的悲剧小人物多如牛毛，他们愚昧，勤劳，坚强，隐忍，他们被时代的洪流裹挟着无法喘息，唯有努力活下去才能活下去。福贵的悲哀是每一个中国人的悲哀，谁都无法幸免。第一次读余华，他看似沉重冷静的描述却字字见血。', '读起来太顺畅，经典就是经典', '看见了人生悲苦，看见了底层人民的乐观和坚强，看见了生命的柔韧，看见了命运和岁月那不动声色的力量。', '第一次见序这么多的一本书。（但是三星是更复杂的原因，短评里说不清的原因，不是因为序多……）', '在《活着》中，管去世叫“熟了”。最初是福贵的爹“熟了”，初闻不解，后文说道，人死像熟透的梨，离树而落。梨者，离也。']"
百年孤独,百年孤独,9.2,"['每个人都是孤独地出生，在这世间恍惚几十年并不漫长的日子转眼就远去了，然后再孤独地死去。 生命注定是个悲剧，因为我们从没有融入世界，世界永远是身外之物。如果有幸，能在茫茫人海寻得一个身体与灵魂都与自己万分契合的人，与之存在一种可以称之为爱情的联系，然后一起承受生命中不可逃离不可消除的深沉的宿命的孤独。可是这般的幸运艰深难得。有的已失去了爱的能力，有的爱的深沉却无处安放，有的死在这爱里……在所有的爱里，孤独有增无减。  生命只是一场幻梦。', '看第3遍开始越来越让我惊艳的已不是马尔克斯而是译者了。太牛逼了！这样的文字就算是母语创作也属上乘。尤其倒数第二代布恩迪亚在飓风中破译羊皮卷的全书结尾，笔触磅礴，美到让人惊怖。', '为什么我觉得不好看呢？是不是我没文化看不懂啊！', '14年间中文读过5遍以上，英文两遍，被水银泻地般的语言携裹到终章时，内心的激动依然不可抑制。那感觉仿佛是亲手将一件精美而无价的珍宝摔碎在地，带着一种秘密的，幸福的震颤 ', '开始很吃力，越读越上瘾。 惊人得叙事与潮水版的叙事，野兽般撕开真理得外衣。  原来那句经典的开场白，源自这本书。从四姑娘的第一本书，也就开始了他的抄袭生涯。']"
1984,1984,9.3,"['“我写1984是为了警醒世人，不是他吗的操作说明。”🙃', '这是我看过最吓人的一本书。不是可怕而是深深的恐惧。', '奥威尔表达观点的心情是如此强烈，于是，艺术屈从于政治，作为小说的《1984》，其实挺贫乏的。至于观点本身，《1984》是一个寓言，走向了极致之后，生活里总有片段可对应。而我们往往只看到了自己的碎片，感性大过理性，不知不觉地，我们自己想象出了一个老大哥，一厢情愿地认为，这是真理，这是事实，而且是有中国特色的事实。我想这是误解，奥威尔如果真的只是如此狭隘，那么，故事的发生地完全可以是欧亚国，而不会是大洋邦。我认为，奥威尔的悲观要大得多，他的1984是全世界的1984。正如戴锦华所言，“法国大革命，纳粹，奥斯威辛，古拉格群岛，麦卡锡时代的美国，法国五月风暴。是的，《1984》不是一个关于中国的预言，也不只是一个关于红色的寓言”。打通了这层关节，我们才不会是那“只想到自己”的人，而拥有了世界的眼光。', '“栗树荫下，我出卖你，你出卖我。”', '神作。中国人尤其适合做这本书的翻译，所有的词我们在历史上已经都备好了。']"
飘,飘,9.3,"['有一天我梦醒了，窗外是氤氲不化的雾气，我走到窗边，原来是夜里下了雪，空气一片苍茫，我又想起思嘉，在那场大雾中迷路，恐慌，奔跑，喘息，寻找，家。而瑞德已决意放弃一切。包括她。但我也不是十五岁的我了。那时我见她玫瑰红睡袍，一杯白兰地，手法娴熟，一饮而尽。我怎么学得会像她喝酒这般痛饮人生。可我知道什么是痛。', '其实每个女子在少女时期内心都有一个艾希礼，走到最后才会明白原来自己爱的是班瑞德', '我认为本书唯一值得称赞的人是梅兰妮，一个真正的勇士、一个坚毅的妻子、一个称职的妈妈、一个挚友。', '我可以坚定地说一声：要像思嘉一样生活，本能又生命力蓬勃地生存，质疑权威，蔑视传统，我行我素', '差不多半年的时间间隙里重看了一遍。快结束时，巴特勒问斯嘉丽多大了，她答28。我突然被狠狠震惊到，两次看书，几次看电影，都觉得看了他们蓬蓬勃勃跌跌荡荡沧海桑田的一辈子，可她才28！']"
三体全集,三体全集,9.4,"['不过三部下来可以确定的是，刘老师的女性观真的有问题……', '今年通过在开车途听书的方式，重温了这部经典。和看书的感觉完全不同，因为朗读的速度较慢，听书时注意到了更多的细节，尤其是作者的文字风格，这是看书时完全未注意到的：点上一支烟（烟斗、雪茄等；全书“烟”出现215次，“烟斗”21次，”雪茄“39次，最让人受不了的“对着人脸喷一口烟”的情节出现好几次；对这些吸烟情节我深恶痛绝，诺兰是肯定不愿意拍三体的；第三部好一些，抽烟的情节明显减少）、眼睛（眸子、晚霞的眼睛等，仅眸子就出现14次）、沉默良久（各种沉默，全书共计沉默158次，沉默良久就有7次）、（陈述句之后的反问）“是吗”（全书共计25处）、打了个寒战（11次）、以及各种脑洞大开的比喻句（仅“就像”就出现了207次！我猜去掉比喻句，本书能减少20%的长度）。', '大刘，你打开了一扇门，门外的世界一片黑暗，这黑暗中蕴藏的故事，永远讲不完。', '书是好书，纸是烂纸，热爱刘慈欣的读者，请不要买这套', '这么个硬核的科幻是怎么装下了程心这朵白莲花婆娘的…']"
三国演义（全二册）,三国演义（全二册）,9.2,"['东吴控萝莉 魏国爱人妻 蜀国全搞基', '这书我看得特慢，只要出现一个地名我就想在谷歌地形图上给找出来，然后细细从战略层面揣摩用兵之道。特别是街亭之战，光在地图上找到街亭这个屯兵的小谷道就花了不少功夫，刚开始始终想不明白这个离汉中十万八千里的地方到底哪儿重要，后来研究了下才知道古时天水通长安的道路并非沿渭水河谷顺流而下，而是走官陇古道，街亭正处于古道的咽喉之处，蜀丢街亭就意味着把背后留给了魏国，腹背受敌，命都难保。总之这本书值得对着地形图细细揣摩，尤其是诸葛亮六出祁山那段。', '这曾经是我在小学时反复阅读的一部经典。我极爱她，甚至愿意写下每一个人的名字，并且愿意为了这部小说而去读裴注三国志。一部《三国演义》，可以说是我的文学启蒙，并且让我读繁体毫无问题..别人喜爱诸葛亮，我独独对吕布、陈宫和貂蝉感到惋惜，并且唾弃张文远，这个只顾保命的伪君子..我当时相信是因为诸侯先死，所以才被极尽抹灭的：当时谁还相信这是小说呢？', '我是三国控，不解释。最喜欢的一部古典文学。', '“书生轻议冢中人，冢中笑尔书生气！”']"
白夜行,白夜行,9.2,"['新版封面，严重剧透。', '把小说写成这样绝对是开挂了吧，除了连番登场的几十号人物，随处雕琢的大时代的背景也让人叹为观止。对人性的挖掘比起吉田修一还是弱一些，就是纯好看，从第一句开始吸住你逐渐往往里掉。', '看完这本觉得再也不会看东野圭吾了……（豆瓣闲人和煞笔真的很多，四星不会看吗？豆油太多不得不解释一句，这个短评的意思是：这是东野圭吾的巅峰之作集大成之作，再看其它的觉得显得太轻薄套路了，别豆油我了，有病吗？就算我不喜欢你喜欢的书又怎样啊？）', '张无忌的妈妈也说过 不要轻易相信漂亮女人 她们的演技和城府都是你无法想象的 无删减版本比之前的版本多了关于性的描写 阴茎和乳房等词汇也直接被接纳进来 前十章用来构建人物关系和埋下案件伏笔 从第十章开始抽丝剥茧地隐现真相 枪虾和虾虎鱼（雪穗和桐原）的关系日渐明朗 遗憾的是关于后半段作者的笔锋开始出现倦怠 没有给出很完整明确的指示或者暗示 对于最后整体的真相的揭露也并没有很吃惊 除了娈童之外 其他的因果其实已了然于心', '情有可原，罪无可恕。']"
福尔摩斯探案全集（上中下）,福尔摩斯探案全集（上中下）,9.2,"['译得很好。重看一遍越发觉得BBC的《神探夏洛克》改编的真是好啊真是巧啊', '这个应该是我人生中第一套书。。。。刚会认字，还不知道“犹他州”（印象深刻）为何物的时候，就在看男主角们搞基了，情何以堪。。。', '个人感觉，福尔摩斯只是作为侦探小说的鼻祖之一的地位，但感觉远没有阿婆（阿加莎克里斯蒂）的书来的让人出乎意料，令人回味无穷。', '已经读了不知多少遍但真的读一辈子都读不厌', '还在！从小学至今已经读了3遍！！']"
动物农场,动物农场,9.2,"['你们有你们的低等动物需要对付 我们有我们的下层阶级需要摆平', '再也分不清猪的脸和人的脸', '我还是一直幻想着雪球会杀回来再次解放动物们，或者动物们自己醒悟过来推翻极权，正如我还是觉得现状有改变的可能。', '这回我彻底相信林彪是被冤枉的了；至于其他感想，呵呵', '看到后面好怕忽然有人敲门查水表，收了两版实体书，以后不会被肃反吧？！']"
