,auther,comment,price,ref,score,title
0,[清] 曹雪芹 著,"['很想坚持下去，可是到第85回还是怂了。有一句辞不达意的话叫做“由奢入俭难”，看惯了曹雪芹的水准，就没办法接受高鹗了。', '亲戚是干什么用的大全', '读了三十多遍，文学史上的断臂维纳斯', '“为官的，家业凋零；富贵的，金银散尽；有恩的，死里逃生；无情的，分明报应。欠命的，命已还；欠泪的，泪已尽。冤冤相报实非轻，分离聚合皆前定。欲知命短问前生，老来富贵也真侥幸。看破的，遁入空门；痴迷的，枉送了性命。好一似食尽鸟投林，落了片白茫茫大地真干净！”第四遍，还是没法不深觉牛逼。以及不管过去多少年喜欢薛宝钗还是林黛玉永远可以作为选择朋友的标准之一。我是个有原则的人，一辈子没法跟喜欢薛宝钗的人做朋...', '我觉得史湘云是最真的一个女子 黛玉 你就天天伤心吧。宝玉 你就天天游走在各个姐姐之间吧。宝钗 你就世故圆滑你的吧。唯独我的湘云手帕包花作枕醉卧青石凳，蝶舞翩翩。唯独我的湘云真真的直言快语管你是太太还是姊妹。唯独我的湘云妙语连珠诗词连篇造就“寒塘度鹤影”\r\n']", 59.70元,https://book.douban.com/subject/1007305/,9.6,红楼梦
1,余华,"['“人是为了活着本身而活着的，而不是为了活着之外的任何事物而活着”', '读起来太顺畅，经典就是经典', '在《活着》中，管去世叫“熟了”。最初是福贵的爹“熟了”，初闻不解，后文说道，人死像熟透的梨，离树而落。梨者，离也。', '余华笔下的精彩，是他没有废话。一个人为之一生的跌宕起伏，像是一艘破烂的小船挣扎在狂风暴雨的大海里，但这却是很多年以来中国农民的写照：隐忍。有庆之死让我难过了好一阵，二喜的哭又让我心里一凉，所有的悲剧并不是一个人的命不好，而是让人感受到“活着”本身就是一种力量，你以为是命运选择了你，但你能选择人生态度。', '朴素的语言描述了福贵的一生，经历了中国的各个时期，内战、人民公社、文化大革命，福贵还活着，陪他经历这一切的人却纷纷逝世，老的、少的，都顷刻湮没在历史中。中文中的这两个字：活着，太贴主题，不是生活，不是苟活，就是活着。']", 20.00元,https://book.douban.com/subject/4913064/,9.4,活着
2,,,,https://book.douban.com/subject/6082808/,9.2,百年孤独
3,,,,https://book.douban.com/subject/4820710/,9.3,1984
4,,,,https://book.douban.com/subject/1068920/,9.3,飘
5,刘慈欣,"['重读。宇宙不仁，以万物为刍狗。', '一定要和圣母做闺蜜，这样才能有光速飞船坐~', '从恒星天线到智子封锁，从黑暗森林到维度打击。全书从文革女愤青拉出引子，战线一直扩大，大刘用他的想象给我们构建了一个新的宇宙。第一部从人性的角度出发，分出了那种救世的豪情与灭世的激愤。第二部放眼全宇宙，地球上的纷纷扰扰已经满足不了大刘的胃口，把博弈的战场放到全宇宙，当罗辑站在墓碑前与三体星人对决时，那一句「住手！」，积累了一本书的悬念一下子倾泻而出，实在让人大呼过瘾。第三部继续回到人性的视角，当全人...', '大刘，你打开了一扇门，门外的世界一片黑暗，这黑暗中蕴藏的故事，永远讲不完。', '第一点，作者有些话唠，难道是科幻小说界的语文老师吗？！写那么字难道是为了赚稿费哇。@第二点作为三体小说的第一部，感觉很平淡啊，没有那么想象中的精彩，到最后结尾就都成了虫子吗。第三点，因为是第一次看科幻小说，难道科幻小说的宇宙观就酱紫吗，感觉虽然描述的很宏大，但很空洞。故事的结构性不是很强，作为小说而言，章节性的断裂不连贯。看完第一部总体感觉没有看第二部的必要了。目前看到第二部中部，果断弃，看不下去...']", 2012-1-1,https://book.douban.com/subject/6518605/,9.4,三体全集
6,,,,https://book.douban.com/subject/1019568/,9.2,三国演义（全二册）
7,[日] 东野圭吾,"['「就算残忍的对待这个世界到窒息，也要永远在看不见的地方守护你。」推理细节丝丝入扣，结局短促而突然，让人猝不及防却意犹未尽。', '实在是不喜欢东野圭吾的书 这本虽然一直很想拜读 但其实看完了也就这样 不明白为什么这么多人感动得鼻涕眼泪一起流 ', '故事中男女主人公从头到尾没有一句对白，经典。', '心理变态男女杀人放火互利共生的糟心故事 突然想起宫斗剧台词。。再冷 也不该用别人的血来暖自己', '新版封面，严重剧透。']","

    
    
  
    ",https://book.douban.com/subject/10554308/,9.2,白夜行
8,,,,https://book.douban.com/subject/1040211/,9.2,福尔摩斯探案全集（上中下）
9,,,,https://book.douban.com/subject/2035179/,9.2,动物农场
10,,,,https://book.douban.com/subject/1084336/,9.0,小王子
11,,,,https://book.douban.com/subject/27614904/,9.2,房思琪的初恋乐园
12,金庸,"['因为众生皆苦，便觉得自己也不是很苦。', '段誉大约是金庸笔下第一让人鄙视之正派情种；王语嫣则堪称女子中的对应。两人凑成一对也算解气。', '没看书就不懂江湖事。我爱木婉清，我厌王语嫣。', '段誉这傻子，虚竹这呆子，萧峰这汉子', '偌大一本书，数百豪杰人物，萧峰一出，全归背景']", 96.0,https://book.douban.com/subject/1255625/,9.1,天龙八部
13,（丹麦）安徒生,"['完美到悲伤，每个女孩心中都有一个海的女儿，这是安徒生送给全世界女孩的厚礼，心灵上的厚礼', '小时候买了好几本呢！真的很喜欢！', '《海的女儿》是爱情的启蒙。', '比格林好，而且寒假过后的几个月，经常在里面翻出压岁钱', '小时候很喜欢 很久以后 发现都是骗人的']","

    
    
  
    ",https://book.douban.com/subject/1046209/,9.2,安徒生童话故事集
14,,,,https://book.douban.com/subject/1060068/,9.2,撒哈拉的故事
