,article_href,author,content,comment_time,votes
0,https://movie.douban.com/subject/1291546/,老鸡｜扶立,"
2008-01-10
",在野路子出身的张国荣面前，学院出身的张丰毅显得那么单薄,22833
1,https://movie.douban.com/subject/1291546/,曲非烟,"
2006-03-17
",说好了一辈子，少一年、一天、一个时辰，都不是一辈子。,19283
2,https://movie.douban.com/subject/1291546/,kingfish,"
2006-03-22
","不解,拍出过霸王别姬的人怎能拍出无极来",9698
3,https://movie.douban.com/subject/1291546/,影志,"
2005-07-22
",人戏不分，不疯魔不成活。,6374
4,https://movie.douban.com/subject/1291546/,UrthónaD'Mors,"
2011-06-13
","蝶衣于台上贵妃醉酒，头顶忽撒下无数抗日传单。灯骤灭，台下喧哗。没有人再顾及台上的贵妃。唯有蝶衣，继续着未尽的绝美舞步丝毫未曾停滞。一片混乱之中，也唯有四爷，独自于楼上包厢继续丝毫未曾分神。看到这里感动的一塌糊涂。结尾处“我本是男儿郎,又不是女娇娥”真的落泪了。纯粹坚持的2人去了",3060
5,https://movie.douban.com/subject/1292720/,影志,"
2006-02-13
",妈妈说，生活就像一盒巧克力……请不要再续下一句，耳朵听的起了茧子。,5568
6,https://movie.douban.com/subject/1292720/,林愈静,"
2006-04-21
",每年看一遍，每年哭一遍，看看自己幸福还是阿甘幸福！时间：从2003开始每年一遍,3905
7,https://movie.douban.com/subject/1292720/,陈毓秀,"
2013-09-21
",这部电影的主题是：“保守主义始终代表美国先进生产力的发展要求，始终代表美国先进文化的前进方向，始终代表美国最广大人民的根本利益。”,746
8,https://movie.douban.com/subject/1292720/,办公室甜心,"
2011-12-14
","十年前看过一遍，那时还是一个小屁孩，就像Forrest的妈妈说的一样，生活就像一盒巧克力，十年前的我绝对不会预料得到现在我会成为一个这样的大男生。ForrestGump真是把""蠢萌""这两个字发挥到极致，我的意思是，蠢萌，其实也是上帝给予的天赋。",795
9,https://movie.douban.com/subject/1292720/,不良生,"
2015-03-26
",又是七年后，重温一遍。上帝是仁慈的，妈妈走了，珍妮走了，朋友走了，可是给阿甘留下了一个孩子。要是没有孩子他该怎么活下去。也是电影的仁慈。,683
10,https://movie.douban.com/subject/1295644/,能工巧匠沙门哥,"
2007-08-16
",一半的魅力来自反派：GaryOldman.,6665
11,https://movie.douban.com/subject/1295644/,眠去,"
2007-02-10
",她对Leon说，自从遇见你后，我的胃，再也不痛了……,6569
12,https://movie.douban.com/subject/1295644/,杜扬Seatory,"
2006-10-25
",我开始想要过得快乐，睡在床上，有牵挂,6521
13,https://movie.douban.com/subject/1295644/,大时代.歌姬,"
2010-05-15
",我到哪里找，像你这么好。,1349
14,https://movie.douban.com/subject/1295644/,。光本,"
2006-10-16
",爱上了让雷诺。爱上了这个意大利杀手的温情。爱上了他脸部轮廓，和刚毅的线条。“人生诸多辛苦，是不是只有童年如此。”玛蒂尔达问。里昂说，“一直如此。”这样的话，击中了内心深处。,1362
15,https://movie.douban.com/subject/1292063/,monotonous,"
2007-12-21
","人生，就是喜剧，就是一场1000分的游戏。千万别哭，不然那个迈着正步去赴死的犹太人会笑话你的。

",9582
