,title,href,cover,desc,rating_num,comments_num,quote
0,肖申克的救赎 / TheShawshankRedemption / 月黑高飞(港)/刺激1995(台),https://movie.douban.com/subject/1292052/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,导演:弗兰克·德拉邦特FrankDarabont   主演:蒂姆·罗宾斯TimRobbins/...1994 / 美国 / 犯罪剧情,9.7,1900885人评价,希望让人自由。
1,霸王别姬 / 再见，我的妾/FarewellMyConcubine,https://movie.douban.com/subject/1291546/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,导演:陈凯歌KaigeChen   主演:张国荣LeslieCheung/张丰毅FengyiZha...1993 / 中国大陆中国香港 / 剧情爱情同性,9.6,1397352人评价,风华绝代。
2,阿甘正传 / ForrestGump / 福雷斯特·冈普,https://movie.douban.com/subject/1292720/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1484728154.jpg,导演:罗伯特·泽米吉斯RobertZemeckis   主演:汤姆·汉克斯TomHanks/...1994 / 美国 / 剧情爱情,9.5,1446249人评价,一部美国近现代史。
3,这个杀手不太冷 / Léon / 杀手莱昂/终极追杀令(台),https://movie.douban.com/subject/1295644/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,导演:吕克·贝松LucBesson   主演:让·雷诺JeanReno/娜塔莉·波特曼...1994 / 法国 / 剧情动作犯罪,9.4,1642104人评价,怪蜀黍和小萝莉不得不说的故事。
4,美丽人生 / Lavitaèbella / 一个快乐的传说(港)/LifeIsBeautiful,https://movie.douban.com/subject/1292063/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,导演:罗伯托·贝尼尼RobertoBenigni   主演:罗伯托·贝尼尼RobertoBeni...1997 / 意大利 / 剧情喜剧爱情战争,9.5,918621人评价,最美的谎言。
5,泰坦尼克号 / Titanic / 铁达尼号(港/台),https://movie.douban.com/subject/1292722/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,导演:詹姆斯·卡梅隆JamesCameron   主演:莱昂纳多·迪卡普里奥Leonardo...1997 / 美国 / 剧情爱情灾难,9.4,1391283人评价,失去的才是永恒的。 
6,千与千寻 / 千と千尋の神隠し / 神隐少女(台)/千与千寻的神隐,https://movie.douban.com/subject/1291561/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,导演:宫崎骏HayaoMiyazaki   主演:柊瑠美RumiHîragi/入野自由Miy...2001 / 日本 / 剧情动画奇幻,9.3,1484697人评价,最好的宫崎骏，最好的久石让。 
7,辛德勒的名单 / Schindler'sList / 舒特拉的名单(港)/辛德勒名单,https://movie.douban.com/subject/1295124/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:连姆·尼森LiamNeeson...1993 / 美国 / 剧情历史战争,9.5,740201人评价,拯救一个人，就是拯救整个世界。
8,盗梦空间 / Inception / 潜行凶间(港)/全面启动(台),https://movie.douban.com/subject/3541415/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,导演:克里斯托弗·诺兰ChristopherNolan   主演:莱昂纳多·迪卡普里奥Le...2010 / 美国英国 / 剧情科幻悬疑冒险,9.3,1395141人评价,诺兰给了我们一场无法盗取的梦。
9,忠犬八公的故事 / Hachi:ADog'sTale / 忠犬小八(台)/秋田犬八千(港),https://movie.douban.com/subject/3011091/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg,导演:莱塞·霍尔斯道姆LasseHallström   主演:理查·基尔RichardGer...2009 / 美国英国 / 剧情,9.4,957954人评价,永远都不能忘记你所爱的人。
10,海上钢琴师 / Laleggendadelpianistasull'oceano / 声光伴我飞(港)/一九零零的传奇,https://movie.douban.com/subject/1292001/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:蒂姆·罗斯TimRoth/...1998 / 意大利 / 剧情音乐,9.3,1158552人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
