影名,评分,热评数,热评1,热评2,热评3,热评4,热评5
肖申克的救赎 The Shawshank Redemption,9.7,全部 345559 条,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”,策划了19年的私奔……,有种鸟是关不住的.,"超级喜欢超级喜欢,不看的话人生不圆满.",没有人会不喜欢吧！书和电影都好。
霸王别姬,9.6,全部 278872 条,陈凯歌可以靠它吃两辈子饭了，现在看来江郎才尽也情有可原,在野路子出身的张国荣面前，学院出身的张丰毅显得那么单薄,说好了一辈子，少一年、一天、一个时辰，都不是一辈子。,最优秀的中国电影,"蝶衣于台上贵妃醉酒，头顶忽撒下无数抗日传单。灯骤灭，台下喧哗。没有人再顾及台上的贵妃。唯有蝶衣，继续着未尽的绝美舞步丝毫未曾停滞。一片混乱之中，也唯有四爷，独自于楼上包厢继续丝毫未曾分神。看到这里感动的一塌糊涂。结尾处“我本是男儿郎,又不是女娇娥”真的落泪了。纯粹坚持的2人去了"
阿甘正传 Forrest Gump,9.5,全部 221711 条,每年看一遍，每年哭一遍，看看自己幸福还是阿甘幸福！时间：从2003开始每年一遍,重新再看一遍，觉得奥斯卡当年颁给《阿甘正传》而不是《肖申克的救赎》，还是对的……更广阔，经得起各种解读，每个人都能找到自己的点。,"这是一部美国典型的反智题材电影。聪明的人未必一定能成功。阿甘的智商极低，却情商极高。他一直怀着单纯的心，做了在别人眼里了不起的事，也尽力照顾身边的人。
成功充满必然与偶然。
人生就像是一盒巧克力。
最经典的两句台词
",又是七年后，重温一遍。上帝是仁慈的，妈妈走了，珍妮走了，朋友走了，可是给阿甘留下了一个孩子。要是没有孩子他该怎么活下去。也是电影的仁慈。,美国梦史诗，但在看似浮华的场面背后依旧是不堪一击的羸弱，完全过场版的故事走向，为了把那些历史的节点串在一起而刻意斧凿的剧情实在很冗杂；坚决反对这种投机倒把的行为。
这个杀手不太冷 Léon,9.4,全部 270908 条,一半的魅力来自反派：Gary Oldman.,我开始想要过得快乐，睡在床上，有牵挂,这个男人他是从儿时的动画片里走出来的，是邪恶和童真的混合体，这令我着迷。,或许是很多姑娘大叔控的根源。,莱昂用死换来的钱，竟被人轻松地据为己有。这一点令我百感交集。
美丽人生 La vita è bella,9.5,全部 190324 条,"喜剧的开始，悲剧的结束，
满满的亲情，无限的父爱",父爱构筑了一场温馨的战争，没有在孩子心里留下任何阴影。故事分裂成两部分，前半是圭多对公主的追逐，用智慧战胜了强大的求婚者，抱得美人归；后半是战争风雨飘摇时对亲情的忠诚，在迈开大正步赴死，努力保护孩子时，父爱如山，界已成神.,三刷了。记得上学时跟父母吵过，中国的父母经常想让小孩相信这世界的丑陋，而国外的父母即便身在地狱也要让孩子相信在天堂，让他们开心的活着，你们为什么要让我的童年的这么痛苦。哈哈，大概就是受这剧影响吧。,"从天而降的钥匙打开了她的心房，却打不开奴役的枷锁；
骑马逃离婚姻的羁绊，却逃不出法西斯的束缚。
现实残酷，他就用温柔回敬现实。
战争凶猛，他就用父爱打赢这场战争。
做一块蛋糕，他就融化了她的心窝；
铺一张地毯，她就走进了他的生活。
一句广播，一首音乐，让妻子重新看见希望。
一个善意的谎言，一个属于父子之间的游戏，给孩子一个没有阴影的童年。
我只是一个普通人，你却让我做了公主。
我只是想要一个玩具坦...","从天而降的钥匙打开了她的心房，却打不开奴役的枷锁；
骑马逃离婚姻的羁绊，却逃不出法西斯的束缚。
现实残酷，他就用温柔回敬现实。
战争凶猛，他就用父爱打赢这场战争。
做一块蛋糕，他就融化了她的心窝；
铺一张地毯，她就走进了他的生活。
一句广播，一首音乐，让妻子重新看见希望。
一个善意的谎言，一个属于父子之间的游戏，给孩子一个没有阴影的童年。
我只是一个普通人，你却让我做了公主。
我只是想要一个玩具坦克，你却让我坐上了真坦克。
他默默无闻，但他又无所不能。
纵然身在地狱，他也能将它变成天堂。
以生命为代价，给家人一个美丽人生。"
泰坦尼克号 Titanic,9.4,全部 204697 条,还用说么？太经典了。,事隔那麼多年依然無法忘記當初的感動。,1998年，哈尔滨火车站地下给初恋女友买的盗版光盘。,有些片子，必须得等经历过再去看。没有为爱情放弃过什么的人，不会在露丝从救生船上跳回大船的那一刻落泪。,看了四遍，最后一次也是五年前了吧。不知再拿出来重温的话，会不会嚎啕大哭，像小学那时一样。 1998，5
千与千寻 千と千尋の神隠し,9.3,全部 255261 条,"你忘了吗?
往下飞的时候眼泪是往上流的.",一个寻找自我或者自我复苏的过程,有一点模糊的小爱情...小白龙报恩，千寻想起了她自己及小情人儿的名字。帮客人洗澡，小煤球儿来回跑。这些经历给我多好玩儿，我一定不会变成大猪，不乱吃东西，给客人洗得干干净净。小白龙永远跟我好^^回到14岁：）,曾经发生过的事情是不可能忘记的，只是想不起来罢了……你会帮我想起自己是谁对吧,宫崎骏没有迪斯尼那么花哨 甚至有些落伍 直到现在 他还坚持用手工绘画而不是电脑绘图来完成自己的卡通片 但他懂得一部卡通片 或者一部影片 应该用什么去打动别人 所以 宫崎骏笔下的形象是一个个人 而不是一个个没有知觉的卡通形象 
辛德勒的名单 Schindler's List,9.5,全部 109686 条,请看一部没有笑容的电影吧,献给导演认真的态度和无数个小高潮,连姆·尼森后来又演了《通勤营救》《空中营救》《飓风营救》，半辈子都在营救别人。幸亏《辛德拉的名单》当年没在中国上映，要不然中文译名可能会是《辛德勒营救》。,每一次看都有新鲜发现，每一次看都会内牛满面。/ 记第一次在中国大银幕观看 20190413 @天幕新彩云巨幕厅,"斯皮尔伯格，犹太人，世界最著名的导演之一，他通过黑白映像把第二次世界大战中德国纳粹犯下的滔天罪行传播到世界各地，那段对犹太人灭绝人性的杀戮终于大白于天下。
苍天悲悯，辛德勒名单内是生命，外是死亡，他为此倾家荡产，1100犹太人得已生还，也记住了辛德勒这位伟人。
"
盗梦空间 Inception,9.3,全部 259203 条,大概广电局也不知道该从哪里剪,1、电影确实精彩。2、没有想象的难懂，相信你自己。3、总会有一个让你记一辈子的镜头。4、请降低期待值。5、请提前上厕所。6、记得关手机。7、一定要去影院，因为影院也是个造梦机器。8、记得听完结尾音乐。因为它负责让你醒来。9、极可能是近几年你在影院看过最精彩的电影。10、穿越吧少年,诺兰+莱昂纳多的电影，我无话可说！,迷离失所，戏假情真！,概念不算新鲜但还不错 ;p 充斥许多漂亮的慢动作镜头和带点匪夷所思的建筑构想，视觉效果挺棒的！偶尔会令我想起Paprika……
忠犬八公的故事 Hachi: A Dog's Tale,9.4,全部 195922 条,八公的主人，也在天堂的门口等了它很久吧。,这是我所看过的关于狗狗电影最感人的一部，我想它的成功之处就在于将重点正确放至在了对Hachi内心的刻画上，而没有像其他一些影片文不对题，偏偏喜欢渲染一些多余人物的情感，很显然，主题对了，观影者自然而然会买单。,"你要养狗,就不能当它是guest,十年可是一只狗的一辈子",“等有一天它会给你捡球的时候，一定有什么特殊的理由” 八公用这种方式来告别了他的主人....,....明早眼睛又肿了
