电影名,评分,短评数量,评论1,评论2,评论3,评论4,评论5
肖申克的救赎,9.7,1887133,看过太多遍了，对人性的许多方面都有独到的阐述和理解，每看一次都有不同体会,Hope is everything.,好像说什么都很多余,在监狱里，当生命的过程只能以时间为刻度的时候，任何高涨的热情都只能无可奈何地向失望举起双手，宿命地接受命运的安排。,不得不说很能触碰到人心，细腻的打动你
霸王别姬,9.6,1386156,陈凯歌可以靠它吃两辈子饭了，现在看来江郎才尽也情有可原,说好了一辈子，少一年、一天、一个时辰，都不是一辈子。,他竟当面一语点破：虞姬是真虞姬，霸王是假霸王。,就凭这个，我愿意原谅陈凯歌一切的烂片 你只要伟大过一次就可以了 就凭这个 哥哥你是我心中永远不朽的传奇 你是全世界最大的角儿,这真的不是电影，而是人生。如此真实深刻地反映了从抗战前夕至文革的那段历史时期下命运凄惨的人们，渗透在每一个细节，包括那个不能忍受戏班虐打的孩子，而文革中六亲不认，人格扭曲更是展现到了极致。当然最赞的是哥哥的表演，如此悲哀可怜的蝶衣让人心痛，不疯魔不成活，人戏不分，现实的他也是如此
阿甘正传,9.5,1437863,"电影开篇,就告诉了人生的真实意义，就是羽毛,你无法决定和选择将要遇到什么,只能随风摇曳,在空中尽情的舒展美好!",太甜美的美國夢,羡慕珍妮，不管她多么叛逆、落魄、堕落，永远有阿甘在等她回来,他的十二支船，每一支都是她的名字。她走后，他只得跑遍世界的每一个湖泊和沙漠来思念她，只等她一声召唤便死心塌地的回到她的身边。好莱坞编造一个这么纯粹的故事，让我们看到我们所拥有的感情，是多么的残破不堪。这简直是残忍的，不道德的。,妈妈说，生活就像一盒巧克力……请不要再续下一句，耳朵听的起了茧子。
这个杀手不太冷,9.4,1632930,萝莉有颗御姐心，正太有个大叔身——邪恶又天真、残酷又温柔，多完美~,我开始想要过得快乐，睡在床上，有牵挂,一半的魅力来自反派：Gary Oldman.,她对Leon说，自从遇见你后，我的胃，再也不痛了……,里昂只有一颗盆栽，不善言辞，爱喝牛奶。他不像，却真正是一个杀手。玛蒂达的到来，是包袱，也给里昂带来了生机。不过这种设定，注定是悲剧收场。里昂死后，玛蒂达将他盆栽的种子落地生根，里昂终于不再每日拿着手枪在椅子上不安地入睡，他落地了。娜塔莉波特曼太灵了，玛蒂达是如此特别。
美丽人生,9.5,914097,我以为如此智慧的一个人，在那几声枪响过后，必定是会走出来，继续对他的公主说早安的...,如果谎言可以这样美丽，我也情愿生活在谎言之中,"喜剧的开始，悲剧的结束，
满满的亲情，无限的父爱",绝对难忘的一部片子----影片结尾美国大兵的那句 hei! boy! 叫人已经凉透了的心又感到了温暖。,"人生，就是喜剧，就是一场1000分的游戏。千万别哭，不然那个迈着正步去赴死的犹太人会笑话你的。
 
"
泰坦尼克号,9.4,1381850,爱你原本只是一瞬，却不知在时间的洪流中成了永恒。,那对对死无所畏惧的老夫妇，那个不为外界干扰的乐队，那个为生而做一次假父亲的男人，那个为爱人吹响口哨的女人。都是为了一种心灵上的执着。,当老年的Rose午夜梦回，一个长镜头穿过大堂，摇上楼梯，站在钟表前的Jack转过身来，意气风发，潇洒倜傥，宛如昨日。,“我甚至连一张他的画像都没有，但他永远活在我心中。” 要敢说，这是我一直深爱的电影。,若干年后，2010年12月27日凌晨一点半，我不知道还有谁醒着没睡，还有谁和我一样，刚重温过这片子，或是刚刚打开准备重温。我又哭得很惨，这是毫无疑问的。我想，之所以不情愿活着，是因为没有那个如此相爱想要厮守的人；不情愿死去，是因为没有一个人如此爱我，值得我为他去死。
千与千寻,9.3,1473938,"每次看这些神作的时候想到这是动画片这是一群牛人一笔一笔画出来的,就觉得漏看掉一帧都实在是对不起他们啊",不努力工作会变成猪,曾发生过的事请不可能忘记 只不过是你想不起罢了,十年后重看只想大哭，其实我们都明白这个结局。,自认为是宫崎骏最好的一部。| 2019.6.22 大银幕重温，感谢造梦者。
辛德勒的名单,9.5,736142,有钱才能保护喜欢的人,这不止是剧情，更是技术、镜头、剪辑、演技和配乐的综合胜利。表达是一出技巧活，不以剧本和背景定优劣，这一切都是导演的功力和运气造成，不可求，但可遇——《辛德勒的名单》可谓厚积薄发。而实论背景，辛德勒本人之事尚存争议，电影却已在全世界人面前诠释并且定性了，由此可见媒体的影响之大,出门的时候，看到灯火辉煌的城市，会觉得一切幸福美好都是罪恶。。。,救人一命就是救全世界.,请看一部没有笑容的电影吧
盗梦空间,9.3,1388177,大概广电局也不知道该从哪里剪,卡梅隆负责革新电影技术，诺兰负责革新电影结构...,就那么一个创意，被大家吹得玄而又玄。片中充斥着毫无意义的枪战。看的过程中惟一的惊喜就是CCTV了。,一部电影好看到即使你明白它在故弄玄虚也是义无反顾的打五星。,1、电影确实精彩。2、没有想象的难懂，相信你自己。3、总会有一个让你记一辈子的镜头。4、请降低期待值。5、请提前上厕所。6、记得关手机。7、一定要去影院，因为影院也是个造梦机器。8、记得听完结尾音乐。因为它负责让你醒来。9、极可能是近几年你在影院看过最精彩的电影。10、穿越吧少年
忠犬八公的故事,9.4,952696,八公的主人，也在天堂的门口等了它很久吧。,Hachi就是爱一个人过一生了。,这真是漫长的一生啊，八公。,动物是我的死穴...从头哭到尾..,这是我所看过的关于狗狗电影最感人的一部，我想它的成功之处就在于将重点正确放至在了对Hachi内心的刻画上，而没有像其他一些影片文不对题，偏偏喜欢渲染一些多余人物的情感，很显然，主题对了，观影者自然而然会买单。
