电影名,评分,短评数量,评论1,评论2,评论3,评论4,评论5,排名
肖申克的救赎,9.7,1897620,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”,不需要女主角的好电影,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》,“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？经典的电影之所以经典，因为他们都在做同一件事——让你从不同的角度来欣赏希望的美好。,策划了19年的私奔……
教父2,9.2,347316,两代人的对比，AlPacino和RobertDuvall都太帅了，不同的是，父亲拥有家庭与荣华，而AlPacino几乎失去了所有亲人。,74/47th第一部是关于神化的智慧。第二部是男人的光辉与悲哀，以及意大利的传统家族观念在美国的狗屁价值观前节节败退,【720P】这部电影告诉我们，为什么“富不过三代”——因为富二代们的生活总是很混乱。,阿尔·帕西诺不能再帅，是年轻时的代表作。,虽然有点儿长，但你会知道为什么三个小时你都坐在这里～（不明白自己2009年5月27日怎么留下了这样的短评，而且还被打了104个有用，毛用啊，对于回忆当时看完这片儿的感受一点用木有。2015.8.8重看，不如1爽，相比之下节奏氛围人物塑造都差了些，自然还有其精致所在但已经没了那种生猛，太可惜了）
阳光灿烂的日子,8.8,430633,再也没有这样的时候了。被禁锢的青春里面溶着化不开的酸涩。年轻的时候爱一个姑娘，就可以奋不顾身的把所有逞能的事情都做完。长大了以后就不会了。不是不爱姑娘了，而是理智的弦告诫你自己再这样做是多么蠢的一件事情。,“我的故事总是发生在夏天。炎热的气候使人们裸露得更多，也更能掩饰心中的欲望。那时侯，好像永远是夏天，太阳总是有空出来伴随着我，阳光充足，太亮，使得眼前一阵阵发黑”——电影《阳光灿烂的日子》开场对白,为什么你们都那么牛B地看到了时代的悲剧，我却傻B的没看出什么来？,别人说这部片子很绝望，我看到的只是与我无关的，男生的青春期,大陆电影的巅峰之作。
致命魔术,8.9,574281,孪生蝙蝠侠大战克隆金刚狼,一个与同胞兄弟轮流上台享受欢呼与掌声，一个自我牺牲自我毁灭让复制品延续艺术生命。人性泯灭在狂热之中。,本片最大的看点其实是用Angier和Borden的幻术竞争来影射历史上Edison和Tesla的直流电与交流电之争。《记忆碎片》、《致命魔术》和《盗梦空间》基本上一个套路嘛。如果Nolan拍片子总是用这种捣蒜的方式讲故事的话，看多了真觉得没啥意思了。,他选择了和他妻子一样的死法。100次。,诺兰是一个伟大的魔术师，谜底都在变小鸟那个魔术里了。。
蝙蝠侠：黑暗骑士,9.2,691413,诺兰接手后蝙蝠侠和其它漫画英雄片完全不是一个等级了,赞誉众口一致夸上了天，百闻不如一见，这种连环画超级英雄故事居然能扯到第六集真是要把编剧逼跳楼了，最后呈现的暗夜骑士全然超越了原著，悲怆到迷人的境界，着实是个奇迹。剧本确实很卓越，导演确实很出色，还有演技真是不得不叹服一下太tmd震撼,蝙蝠侠、双面人和小丑这三个形象把人在善恶两面的矛盾及选择映射得淋漓尽致，于是成就了史上最佳漫画和英雄电影。时光网：“诺兰让关于艺术片和商业片的讨论变得毫无价值。《黑暗骑士》不但拍出了古典悲剧的感觉，还探讨了恐怖主义、越界权力等美国当代的热点话题。最关键的是，电影好看得无懈可击。”,"伟大之作,与其在文艺片里奋战,不如像这样提升商业片的水准!",诺兰的叙事能力不但在于结构上。。他总有一个与众不同的主题
霸王别姬,9.6,1394212,陈凯歌可以靠它吃两辈子饭了，现在看来江郎才尽也情有可原,说好了一辈子，少一年、一天、一个时辰，都不是一辈子。,他竟当面一语点破：虞姬是真虞姬，霸王是假霸王。,就凭这个，我愿意原谅陈凯歌一切的烂片你只要伟大过一次就可以了就凭这个哥哥你是我心中永远不朽的传奇你是全世界最大的角儿,这真的不是电影，而是人生。如此真实深刻地反映了从抗战前夕至文革的那段历史时期下命运凄惨的人们，渗透在每一个细节，包括那个不能忍受戏班虐打的孩子，而文革中六亲不认，人格扭曲更是展现到了极致。当然最赞的是哥哥的表演，如此悲哀可怜的蝶衣让人心痛，不疯魔不成活，人戏不分，现实的他也是如此
狮子王,9.0,532140,败在“刀疤”没有反派魅力！,“太阳所能照到的地方，都是我们的国土”随时随地、再看百遍、都会感动如初的经典。,从此得知，原来动画片还可以是这样的……,hakunamatata,现在看剧情真的好简单啊，不过拟人感实在太完美了。还有那个“哈库那莫塔塔”，好多年没听到了...CanYouFeelMyLoveTonight？
重庆森林,8.7,540288,当时没有看得太懂的一个片子,一个人哭了，你给纸巾他就行；但如果一间屋哭了，你就要做很多事情。,"那时她还被叫做王靖雯,小鹿様闪烁的眼神,细痩无邪的身体,疯狂的暗恋也不过是纯真执着的本能",失恋无聊的警察金城武爱上了戴金色假发的女杀手林青霞；在速食店打工的王靖雯暗恋着每晚来买宵夜的警察梁朝伟。落在王家卫的魔手却拍成了深具映象魅力的新感觉派电影，堪称迄今为止最能掌握新新人类触觉的华语片。,看旧电影最无法跨越的逻辑障碍：金城武怎么可能会被甩！梁朝伟怎么可能会被甩！这不是渎神吗！
七宗罪,8.8,671348,里面的布拉德皮特帅的掉渣……,决定永远不暴食,故事看多后的后遗症就是一般最后半小时就知道结局了。。。,阴沉而绝望。基督教用撒旦的七个恶魔形象来代表七种罪恶：傲慢，嫉妒，暴怒，懒惰，贪婪，暴食，以及淫欲。一个变态的宗教杀手，平时连一只鸡也不杀，但他找到了依据来实施对人的毛骨悚然的谋杀。有什么能比一个人做魔鬼的行径更为恐怖的吗？台词：“这是个美好的世界，值得我们为之奋斗。我同意后半句,多年以后再看，还是功力和锐气并重的作品
控方证人,9.6,258545,男人贪心，女人贪爱,当结尾旁白说“影院友情提示，为了保证您没有看过这部电影的朋友，有机会获得更大观影乐趣，请您不要像任何人透露这部电影的结局”时，真爽，这个电影真是骗足了同情心，飚足了演技，压足了节奏，然后唰唰大释放。一场英国男人和德国女人之间爱情与欺骗的故事，现在才看，对不起比利·怀尔德老人家。,好片遇上好字幕~爽,查尔斯劳顿简直是戏精！比利怀德的电影和阿加莎克里斯蒂的小说都是在结尾峰回路转，此片简直是两位大师珠联璧合的杰作！,五星级结局，难以置信这是1958年的黑白电影！
阿甘正传,9.5,1444250,羡慕珍妮，不管她多么叛逆、落魄、堕落，永远有阿甘在等她回来,妈妈说，生活就像一盒巧克力……请不要再续下一句，耳朵听的起了茧子。,太甜美的美國夢,"电影开篇,就告诉了人生的真实意义，就是羽毛,你无法决定和选择将要遇到什么,只能随风摇曳,在空中尽情的舒展美好!",每年看一遍，每年哭一遍，看看自己幸福还是阿甘幸福！时间：从2003开始每年一遍
