排名,链接,电影名称,电影评分,短评数量,前5短评-1,前5短评-2,前5短评-3,前5短评-4,前5短评-5
1,https://movie.douban.com/subject/1292052/,肖申克的救赎 The Shawshank Redemption,9.7,1912544,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》,策划了19年的私奔……,"忒经典的东西,我要带去我的坟墓",这样的男人谁会舍得背叛。。。,墙里的人老是喊自由，可是墙外的我们真正得到了吗？
2,https://movie.douban.com/subject/1291546/,霸王别姬,9.6,1406505,在野路子出身的张国荣面前，学院出身的张丰毅显得那么单薄,说好了一辈子，少一年、一天、一个时辰，都不是一辈子。,他竟当面一语点破：虞姬是真虞姬，霸王是假霸王。,君王意气尽 贱妾何聊生,这真的不是电影，而是人生。如此真实深刻地反映了从抗战前夕至文革的那段历史时期下命运凄惨的人们，渗透在每一个细节，包括那个不能忍受戏班虐打的孩子，而文革中六亲不认，人格扭曲更是展现到了极致。当然最赞的是哥哥的表演，如此悲哀可怜的蝶衣让人心痛，不疯魔不成活，人戏不分，现实的他也是如此
3,https://movie.douban.com/subject/1292720/,阿甘正传 Forrest Gump,9.5,1453898,羡慕珍妮，不管她多么叛逆、落魄、堕落，永远有阿甘在等她回来,妈妈说，生活就像一盒巧克力……请不要再续下一句，耳朵听的起了茧子。,每年看一遍，每年哭一遍，看看自己幸福还是阿甘幸福！时间：从2003开始每年一遍,他的十二支船，每一支都是她的名字。她走后，他只得跑遍世界的每一个湖泊和沙漠来思念她，只等她一声召唤便死心塌地的回到她的身边。好莱坞编造一个这么纯粹的故事，让我们看到我们所拥有的感情，是多么的残破不堪。这简直是残忍的，不道德的。,又是七年后，重温一遍。上帝是仁慈的，妈妈走了，珍妮走了，朋友走了，可是给阿甘留下了一个孩子。要是没有孩子他该怎么活下去。也是电影的仁慈。
4,https://movie.douban.com/subject/1295644/,这个杀手不太冷 Léon,9.4,1650082,一半的魅力来自反派：Gary Oldman.,我开始想要过得快乐，睡在床上，有牵挂,我没啥感觉的公认好片。,"-Is life always this hard.or is it just when you're a kid
-Always like this. ",我到哪里找，像你这么好。
5,https://movie.douban.com/subject/1292063/,美丽人生 La vita è bella,9.5,922667,我以为如此智慧的一个人，在那几声枪响过后，必定是会走出来，继续对他的公主说早安的...,看了这个不要看《辛德勒名单》或者看了《辛德勒名单》不要看这个。时间：2005,绝对难忘的一部片子----影片结尾美国大兵的那句 hei! boy! 叫人已经凉透了的心又感到了温暖。,很久以前看过的，永远难忘片中父亲的鬼脸,三刷了。记得上学时跟父母吵过，中国的父母经常想让小孩相信这世界的丑陋，而国外的父母即便身在地狱也要让孩子相信在天堂，让他们开心的活着，你们为什么要让我的童年的这么痛苦。哈哈，大概就是受这剧影响吧。
6,https://movie.douban.com/subject/1292722/,泰坦尼克号 Titanic,9.4,1399182,那对对死无所畏惧的老夫妇，那个不为外界干扰的乐队，那个为生而做一次假父亲的男人，那个为爱人吹响口哨的女人。都是为了一种心灵上的执着。,还用说么？太经典了。,事隔那麼多年依然無法忘記當初的感動。,"爱情撼动全世界！2008.7.26 CCTV6
2018.4.19 爱奇艺",看了四遍，最后一次也是五年前了吧。不知再拿出来重温的话，会不会嚎啕大哭，像小学那时一样。 1998，5
7,https://movie.douban.com/subject/1291561/,千与千寻 千と千尋の神隠し,9.3,1494323,曾发生过的事请不可能忘记 只不过是你想不起罢了,自认为是宫崎骏最好的一部。| 2019.6.22 大银幕重温，感谢造梦者。,有那么那么经典吗？还是我老了？,"你忘了吗?
往下飞的时候眼泪是往上流的.",一个寻找自我或者自我复苏的过程
8,https://movie.douban.com/subject/1295124/,辛德勒的名单 Schindler's List,9.5,744021,出门的时候，看到灯火辉煌的城市，会觉得一切幸福美好都是罪恶。。。,救人一命等于救全人类。集中营进得来，出不去，除非你从焚尸炉的烟囱里爬出去。,最后辛德勒摘下自己的胸针，说自己原本还能再救一个人，痛哭失声的时候，我也已经哭得不成人形。从电影的任何一个角度都达到了直击人心的力量，面对人性，面对生命，辛德勒做出了让历史铭记的选择。经典之至，感人至深。,献给导演认真的态度和无数个小高潮,"斯皮尔伯格，犹太人，世界最著名的导演之一，他通过黑白映像把第二次世界大战中德国纳粹犯下的滔天罪行传播到世界各地，那段对犹太人灭绝人性的杀戮终于大白于天下。
苍天悲悯，辛德勒名单内是生命，外是死亡，他为此倾家荡产，1100犹太人得已生还，也记住了辛德勒这位伟人。
"
9,https://movie.douban.com/subject/3541415/,盗梦空间 Inception,9.3,1401793,大概广电局也不知道该从哪里剪,前期的口碑营销确实有点儿过了，绝对还没有达到神作的级别，但依旧是近年来最好的影片，诺兰独有的叙事技巧视觉风格以及影像语言都被完美的贯彻其中，其遵循并热爱的怀古之风从人物造型，台词蔓延到拍摄手法以及特效制作上，不过正因为如此，一些动作戏上的处理还有视觉奇观的展现则还不是那么过瘾。,诺兰+莱昂纳多的电影，我无话可说！,就那么一个创意，被大家吹得玄而又玄。片中充斥着毫无意义的枪战。看的过程中惟一的惊喜就是CCTV了。,概念不算新鲜但还不错 ;p 充斥许多漂亮的慢动作镜头和带点匪夷所思的建筑构想，视觉效果挺棒的！偶尔会令我想起Paprika……
10,https://movie.douban.com/subject/3011091/,忠犬八公的故事 Hachi: A Dog's Tale,9.4,963575,这真是漫长的一生啊，八公。,动物是我的死穴...从头哭到尾..,"哭死啦...想去涉谷看看那尊雕像...by the way,那个帅老头我好喜欢...!!!",纸巾抽到还剩最后一张,这次不是拉布拉多，不是金毛，是默默无闻的秋田犬~在电影的最后部分我哭的稀里哗啦，意气风发的八公老了，脏了，以前不怎么喜欢他的女主人抱着它感动的流泪，大雪纷飞的夜里因为有火车来了八公又在等，似乎是回光返照般的看见男主人一如从前那样从火车站里走出来张开双臂要拥抱他~其实狗狗什么都知道
