排名,电影名称,电影详情url,评分,评价人数,评论top1,评论top2,评论top3,评论top4,评论top5,采集成功
1,肖申克的救赎,https://movie.douban.com/subject/1292052/,9.7,1895120,策划了19年的私奔……,关于希望最强有力的注释。,忒经典的东西，我要带去我的坟墓,这样的男人谁会舍得背叛。。。,墙里的人老是喊自由，可是墙外的我们真正得到了吗？,1
2,霸王别姬,https://movie.douban.com/subject/1291546/,9.6,1391798,不解，拍出过霸王别姬的人怎能拍出无极来,就凭这个，我愿意原谅陈凯歌一切的烂片 你只要伟大过一次就可以了 就凭这个 哥哥你是我心中永远不朽的传奇 你是全世界最大的角儿,君王意气尽 贱妾何聊生,人戏不分，不疯魔不成活。,你凝视你的脸，几亿人在爱恋。,1
3,阿甘正传,https://movie.douban.com/subject/1292720/,9.5,1443153,每年看一遍，每年哭一遍，看看自己幸福还是阿甘幸福！时间：从2003开始每年一遍,说实话，我没看到影片过于励志的内容。只看到阿甘利用了他的天赋，并成功了。当然，他很执着，很善良。,傻人有傻福，实际上并不是这样的。在我看来，阿甘的妈妈才是最伟大的人。很多普通人把低智商的孩子早早就放弃了，不让上学，不与别人接触，也许是为了保护自己的孩子，但是这样以后孩子就等于废了……,人生就像一盒巧克力，你不知道会选中哪一颗。,他的十二支船，每一支都是她的名字。她走后，他只得跑遍世界的每一个湖泊和沙漠来思念她，只等她一声召唤便死心塌地的回到她的身边。好莱坞编造一个这么纯粹的故事，让我们看到我们所拥有的感情，是多么的残破不堪。这简直是残忍的，不道德的。,1
4,这个杀手不太冷,https://movie.douban.com/subject/1295644/,9.4,1638702,她对Leon说，自从遇见你后，我的胃，再也不痛了……,我开始想要过得快乐，睡在床上，有牵挂,一个杀手被一个萝莉害死的故事,我没啥感觉的公认好片。,喜欢这个喝牛奶的男人,1
5,美丽人生,https://movie.douban.com/subject/1292063/,9.5,916524,我以为如此智慧的一个人，在那几声枪响过后，必定是会走出来，继续对他的公主说早安的...,如果谎言可以这样美丽，我也情愿生活在谎言之中,绝对难忘的一部片子----影片结尾美国大兵的那句 hei! boy! 叫人已经凉透了的心又感到了温暖。,很久以前看过的，永远难忘片中父亲的鬼脸,关于父爱的伟大电影。以非凡的想象力和诙谐幽默演绎一场不堪回首的历史惨剧，那怦动的热情和对人生充满希望的美丽震撼人心。“为了看到阳光，我们来到世上。为了成为阳光，我们存于世上。”在Guido身上，你看不到那些痛苦、隐忍、挣扎和艰难。这位一直用荒谬的态度对待人生的荒谬、以达观的态度对,1
6,泰坦尼克号,https://movie.douban.com/subject/1292722/,9.4,1386881,“我甚至连一张他的画像都没有，但他永远活在我心中。” 要敢说，这是我一直深爱的电影。,"生死两茫茫
不思量
自难忘",学校组织放映的影片，大家好像对rose和jack恋爱过程猎奇，但是让我感动的一幕是轮船将要沉沦，海上乐队的绅士们整理领结，肃穆庄严的弹奏最后一曲，那一瞬间，仿佛听见一首镇魂曲在响彻。,"爱情撼动全世界！2008.7.26 CCTV6
2018.4.19 爱奇艺",这部当年的大片感动了无数人，就是因为杰克和罗丝的爱情浪漫热烈而美好，至死不渝，犹记得沉船以后两个人漂浮在海上，杰克鼓励罗丝要活下去，他说不后悔打赌赢来了这张船票……泪流满面的人不在少数吧，看着杰克的面孔沉入海中，观众和罗丝一起经历了生离死别……爱情总是这样令人感动。,1
7,千与千寻,https://movie.douban.com/subject/1291561/,9.3,1480953,曾发生过的事请不可能忘记 只不过是你想不起罢了,自认为是宫崎骏最好的一部。| 2019.6.22 大银幕重温，感谢造梦者。,有那么那么经典吗？还是我老了？,一个寻找自我或者自我复苏的过程,内个白龙好像塔矢亮！其实这是个爱丽丝漫游奇遇记的东方版呢！,1
8,辛德勒的名单,https://movie.douban.com/subject/1295124/,9.5,738688,救人一命就是救全世界.,“你从来不喝醉，那是绝佳的自制力。自制力就是权力。” “权力是当我们有绝对的理由去杀一个人的时候，我们却不那样做。那是古代帝王风范。那才是权力。”,最后辛德勒摘下自己的胸针，说自己原本还能再救一个人，痛哭失声的时候，我也已经哭得不成人形。从电影的任何一个角度都达到了直击人心的力量，面对人性，面对生命，辛德勒做出了让历史铭记的选择。经典之至，感人至深。,辛德勒犹太人献给辛德勒的指环上写着：“凡救人一命，即救全世界。”当1100这个数字具化到一个个人名的时候，当片尾处影片中被救的犹太人原型出现时，才能真真切切地体会到指环上的那句希伯来经文的深刻。,献给导演认真的态度和无数个小高潮,1
9,盗梦空间,https://movie.douban.com/subject/3541415/,9.3,1392534,大概广电局也不知道该从哪里剪,卡梅隆负责革新电影技术，诺兰负责革新电影结构...,我的陀螺停不下来了。,这电影看完就开始怀疑人生了，类似的还有《蝴蝶效应》《骇客帝国》《心慌方》《无姓之人》《攻壳机动队》《楚门的世界》等等……其实我突然觉得这一类题材影片的鼻祖明明就是动画片《魔方大厦》啊，郑渊洁威武。,Christopher Nolan是天才!,1
10,忠犬八公的故事,https://movie.douban.com/subject/3011091/,9.4,955780,这真是漫长的一生啊，八公。,你要养狗，就不能当它是guest，十年可是一只狗的一辈子,哭死啦...想去涉谷看看那尊雕像...by the way，那个帅老头我好喜欢...!!!,感动你们的是电影，还是故事本身？,这只秋田犬演是演得真好，不过总让我有种看日本纯爱片的错觉。。。,1
11,海上钢琴师,https://movie.douban.com/subject/1292001/,9.3,1156205,某一天我突然明白，他不能离开的不是那艘船，而是那片养育他的精神家园,一个人到底需要多大的世界呢？,最喜欢的电影，喜欢，不是之一，而是唯一 ,"在船上出生，在船上死亡，他是一个从来没有存在过的人。
第一次放弃下船，他放弃了财富和名气。
第二次放弃下船，他放弃了生命。
人们把音乐当成一种比赛，他不在意虚名和输赢。
人们想利用他的才华致富，他不愿意让他的音乐离开他。
人们浪费了太多的时间去问“为什么”，他想活得简单点。
宁愿一生孤独，不愿随波逐流。
人可以下船，但是不能离开大海。
每个人的心中都有一片海，而他的大海是音乐，是钢琴，是那个女孩。",我想有些东西只是能在特定的环境下生长。当环境变了，其他的一切都会变。,1
12,机器人总动员,https://movie.douban.com/subject/2131459/,9.3,918665,这是一只安卓和苹果的故事么。。,再也没有比《瓦力》更美的动画片了！谈到Wall·E的来源，导演安德鲁·斯坦顿否认了“ET”或者“霹雳五号”的说法（尽管外形很像），他只承认自己创造Wall·E受到了“小台灯”（Luxo）、双筒望远镜、R2-D2、迪士尼乐园“星空之旅”的机器人、卓别林以及伍迪·艾伦的影响。,浪漫得一塌糊涂，像废墟中开出的花，像牵手散步的下午，像世上所有伟大的爱情。,堪称完美的动画作品。,到底有多少人是因为《机器人总动员》这个烂译名错过它的！太出色的一部动画了，你找不到替代品的。默片，看似简单又非常复杂的设计，怎么那么棒，那么感人。,1
13,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,9.2,1278876,活在当下，不记得失，以无为之心做有为之事，你收获的会是比物质更珍贵永恒的生命体验。,阿米尔·汗你是个天才！！！,"该片的中文翻译太烂了，差点就错过欣赏一部好作品了。
兰彻一直在给大家灌输的一种理念就是：简单生活，遵从心声，为自己而活。 
的确，他让朋友们重新认识了自己和所要坚定的方向。
很喜欢片尾的那片湖泊，不知道是在哪里呢？",它又吵又闹、又臭又长，但我想不出什么理由不给它五颗星。,很棒的印度电影，这当中一样的可以看到中印相似的教育体制与贫富阶层问题。轻松、暴笑、热泪中感受积极人生的力量。梦想与事业，做我们喜欢的事情，是成就的不变真理。,1
14,楚门的世界,https://movie.douban.com/subject/1292064/,9.3,1016382,“如果再也不能见到你，祝你早安，午安和晚安。”,每个人都向往自由而不仅仅是安定,原来植入广告那都是人家美国人玩剩下的玩意儿……,"Good morning， and in case I don""t see ya， good afternoon， good evening， and good night!
",换句话说，他的生活就是真实的生活，如果什么也没出现什么也没发现。再换句话说，所有的配角被迫清醒地站在这个虚拟的边缘，吃喝拉撒24小时待命，意识到此刻的高潮被以亿计算的人类消费着，除此之外生活的区别只是没有摄像头对着，不用去区分真或假。精神病和真实一线之隔。坚持到底你就赢了。,1
15,放牛班的春天,https://movie.douban.com/subject/1291549/,9.3,890231,莫翰奇每一次独唱我都热泪盈眶.,星期六，贝贝抱着小熊跟马修老师回家了！QwQ,这是一次心灵的洗礼，没人生本向恶，只是无情的手把人推向了无尽的深渊。Morhange每一次天使般的独唱，总让我感动的浑身直起鸡皮疙瘩，特别是那纸飞机从窗口飞出，“感谢、再见”的小手一挥，那份感动，不言而喻。而最重要的，看这部电影不仅是好“看”，天籁的童声更是听觉的享受。★★★★☆,歌真好听，为什么我上学内会儿参加合唱队唱的都是《黄河大合唱》之类的,每一个孩子都是天使！,1
16,星际穿越,https://movie.douban.com/subject/1889243/,9.3,1029212,"太壮阔了，无以言表！40""渐入佳境，80""叹为观止，120""泪流满面，160""恍如隔世…不曾如此贴近浩瀚星空，被它环抱；不曾如此触摸生命之弦，遁入五维幻境。瑕不掩瑜的科幻神作，刷新视觉的IMAX体验，观影前撒好尿，准备接受近三小时的泪腺洗礼。“爱是一种力量，让我们超越时空感知它的存在”-发自豆瓣App",三体迷们不用担心电影版会拍的稀烂啦！章北海船长，面壁人希恩斯，高维碎片，青铜时代和万有引力舰太空大战，冬眠和星际航行，三体世界的荒芜，高维世界的样貌，云天明的童话，诺兰新作中一次性看完！#刚刚看完星际穿越interstellar，感觉自己萌萌哒#,以地球全部北京化（咦？）为背景的近未来硬科幻，对虫洞、重力和时间维度都有新颖的理解，刻画的浩瀚宇宙让人目眩。可惜诺兰的野心太大（真的是bigger than bigger！），而且把人性拔那么高，到最后就成太空神棍片了...,2011年11月有《雨果》，2012年11月有《少年派的奇幻漂流》，2013年11月有《地心引力》，2014年11月有《星际穿越》，……前三部电影分别获得11、10、11项的奥斯卡提名，然后都拿下最佳摄影和最佳视觉效果奖，由此，我们可以预测《星际穿越》2015年的奥斯卡提名数和最佳摄影+视觉效果拿奖的可能性？……,相比诺兰之前的片子，这部显得比较慢热。然而前两段的层层铺垫终于迎来了第三段主题呈现的水银泻地。Inception仅仅一笔带过的亲情成为了这部电影的核心母题。麦康纳和查斯坦的精湛演技，胶片IMAX呈现出的影像质感，实拍特效的震撼人心，平行剪辑的完美流畅，寂寞大叔创造性的管风琴配乐，神一样的诺兰,1
