排名,电影名称,电影详情url,评分,评价人数,评论top1,评论top2,评论top3,评论top4,评论top5,采集成功
1,肖申克的救赎,https://movie.douban.com/subject/1292052/,9.7,1905101,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”,关于希望最强有力的注释。,"“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。
当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？
经典的电影之所以经典，因为他们都在做同一件事—...",超级喜欢超级喜欢，不看的话人生不圆满.,1
2,霸王别姬,https://movie.douban.com/subject/1291546/,9.6,1400552,在野路子出身的张国荣面前，学院出身的张丰毅显得那么单薄,不解，拍出过霸王别姬的人怎能拍出无极来,君王意气尽 贱妾何聊生,你凝视你的脸，几亿人在爱恋。,往事不要再提，人生已多风雨。纵然记忆抹不去，爱与恨都还在心里。真的要断了过去，让明天好好继续，你就不必再苦苦追问他的消息。爱情他是个难题，让人目眩神迷，忘了痛或许可以，忘了你却太不容易。我对你仍有爱意我对自己无能为力。,1
3,阿甘正传,https://movie.douban.com/subject/1292720/,9.5,1449096,阿甘奔跑的意象，应该留在了很多人心里。,我生命里最温暖的一部电影,重新再看一遍，觉得奥斯卡当年颁给《阿甘正传》而不是《肖申克的救赎》，还是对的……更广阔，经得起各种解读，每个人都能找到自己的点。,"这是一部美国典型的反智题材电影。聪明的人未必一定能成功。阿甘的智商极低，却情商极高。他一直怀着单纯的心，做了在别人眼里了不起的事，也尽力照顾身边的人。
成功充满必然与偶然。
人生就像是一盒巧克力。
最经典的两句台词
",他的十二支船，每一支都是她的名字。她走后，他只得跑遍世界的每一个湖泊和沙漠来思念她，只等她一声召唤便死心塌地的回到她的身边。好莱坞编造一个这么纯粹的故事，让我们看到我们所拥有的感情，是多么的残破不堪。这简直是残忍的，不道德的。,1
4,这个杀手不太冷,https://movie.douban.com/subject/1295644/,9.4,1645009,我开始想要过得快乐，睡在床上，有牵挂,这个男人他是从儿时的动画片里走出来的，是邪恶和童真的混合体，这令我着迷。,小妞造型不错，赶在长残之前拍完了,"看到泪飙，世上最温情的杀手。
幸运的姑娘在12岁就遇到了真正的男人。
",我到哪里找，像你这么好。,1
5,美丽人生,https://movie.douban.com/subject/1292063/,9.5,920105,如果谎言可以这样美丽，我也情愿生活在谎言之中,很久以前看过的，永远难忘片中父亲的鬼脸,父爱构筑了一场温馨的战争，没有在孩子心里留下任何阴影。故事分裂成两部分，前半是圭多对公主的追逐，用智慧战胜了强大的求婚者，抱得美人归；后半是战争风雨飘摇时对亲情的忠诚，在迈开大正步赴死，努力保护孩子时，父爱如山，界已成神.,前后如同两部电影。前一半有多欢脱，后一半就有多苍凉。我特别在意那位执着与于猜谜的军官，善与恶，竟然最终抵不过一道谜题，这也是一种人生的况味吧。,"看过很多遍，我会背很多台词：我想和你做爱，我见你的第一眼就想和你连续做三次爱。如果你违反了三条规定中的任何一条，你的得分就会被扣光：一、如果你哭，二、如果你想要见妈妈，三、如果你饿了，想要吃点心！想都别想！第一句爱情性感，第二句父爱如山 
最爱的还是那句：早安，公主！",1
6,泰坦尼克号,https://movie.douban.com/subject/1292722/,9.4,1394013,若干年后，2010年12月27日凌晨一点半，我不知道还有谁醒着没睡，还有谁和我一样，刚重温过这片子，或是刚刚打开准备重温。我又哭得很惨，这是毫无疑问的。我想，之所以不情愿活着，是因为没有那个如此相爱想要厮守的人；不情愿死去，是因为没有一个人如此爱我，值得我为他去死。,一部应该被记住的电影.,学校组织放映的影片，大家好像对rose和jack恋爱过程猎奇，但是让我感动的一幕是轮船将要沉沦，海上乐队的绅士们整理领结，肃穆庄严的弹奏最后一曲，那一瞬间，仿佛听见一首镇魂曲在响彻。,1998年，哈尔滨火车站地下给初恋女友买的盗版光盘。,第一次看到沉船，第一次看到正面全裸，第一次看到伟大的爱情，第一次...,1
7,千与千寻,https://movie.douban.com/subject/1291561/,9.3,1487855,曾发生过的事请不可能忘记 只不过是你想不起罢了,十年后重看只想大哭，其实我们都明白这个结局。,"你忘了吗?
往下飞的时候眼泪是往上流的.",一个寻找自我或者自我复苏的过程,有一点模糊的小爱情...小白龙报恩，千寻想起了她自己及小情人儿的名字。帮客人洗澡，小煤球儿来回跑。这些经历给我多好玩儿，我一定不会变成大猪，不乱吃东西，给客人洗得干干净净。小白龙永远跟我好^^回到14岁：）,1
8,辛德勒的名单,https://movie.douban.com/subject/1295124/,9.5,741606,印象很深刻的是黑白画面中的红色。,这不止是剧情，更是技术、镜头、剪辑、演技和配乐的综合胜利。表达是一出技巧活，不以剧本和背景定优劣，这一切都是导演的功力和运气造成，不可求，但可遇——《辛德勒的名单》可谓厚积薄发。而实论背景，辛德勒本人之事尚存争议，电影却已在全世界人面前诠释并且定性了，由此可见媒体的影响之大,不仅仅是犹太人，而是整个人类的悲剧。,每一次看都有新鲜发现，每一次看都会内牛满面。/ 记第一次在中国大银幕观看 20190413 @天幕新彩云巨幕厅,"斯皮尔伯格，犹太人，世界最著名的导演之一，他通过黑白映像把第二次世界大战中德国纳粹犯下的滔天罪行传播到世界各地，那段对犹太人灭绝人性的杀戮终于大白于天下。
苍天悲悯，辛德勒名单内是生命，外是死亡，他为此倾家荡产，1100犹太人得已生还，也记住了辛德勒这位伟人。
",1
9,盗梦空间,https://movie.douban.com/subject/3541415/,9.3,1397503,1、电影确实精彩。2、没有想象的难懂，相信你自己。3、总会有一个让你记一辈子的镜头。4、请降低期待值。5、请提前上厕所。6、记得关手机。7、一定要去影院，因为影院也是个造梦机器。8、记得听完结尾音乐。因为它负责让你醒来。9、极可能是近几年你在影院看过最精彩的电影。10、穿越吧少年,一部电影好看到即使你明白它在故弄玄虚也是义无反顾的打五星。,一直在牛逼，从未被超越。只有Nolan才能达到这种境界！！！,“既然做梦，就做大点” 这句太深得人心了。——2010年最天才的电影。“谁又能说，现实不是梦境。” Do you remember how you got here?,Nolan给了我们一场无法盗取的梦。,1
10,忠犬八公的故事,https://movie.douban.com/subject/3011091/,9.4,960308,八公的主人，也在天堂的门口等了它很久吧。,动物是我的死穴...从头哭到尾..,你要养狗，就不能当它是guest，十年可是一只狗的一辈子,天呐我从后半段开始一直在哭 为什么面对这么居心不良的赚眼泪煽情电影我还是被套牢了！我马上要给我家小羊皮一个热烈的大拥抱！！！,感动你们的是电影，还是故事本身？,1
