电影名称,评分,短评数量,前 5 条热门短评
肖申克的救赎 The Shawshank Redemption,9.7,346029,不需要女主角的好电影
肖申克的救赎 The Shawshank Redemption,9.7,346029,有种鸟是关不住的.
肖申克的救赎 The Shawshank Redemption,9.7,346029,"超级喜欢超级喜欢,不看的话人生不圆满."
肖申克的救赎 The Shawshank Redemption,9.7,346029,"Fear Can Hold You Prisoner, Hope Can Set You Free"
肖申克的救赎 The Shawshank Redemption,9.7,346029,因为1994年台湾引进了一部比较卖座的老片The Sting，被错译成了《刺激》。到了1995年本片上映时，片商觉得其剧情与《刺激》有类似的地方（大概都属于高智商的复仇？），因此被译成了《刺激1995》，1998年又有一部片子Return To Paradise因为含有牢狱情节，被译成《刺激1998》！
霸王别姬,9.6,279314,陈凯歌可以靠它吃两辈子饭了，现在看来江郎才尽也情有可原
霸王别姬,9.6,279314,最优秀的中国电影
霸王别姬,9.6,279314,凱歌也曾NB過，那時風華絕代的張國榮也還那麼年輕……
霸王别姬,9.6,279314,我記得我標記過這部片子的啊！——我以為這是國產電影的開始，誰知道是結束。
霸王别姬,9.6,279314,那么好的国粹，连日本人都知道要护着，你们说烧就烧……大多数开始于民国间的故事，最难捱的都是那段时间。
阿甘正传 Forrest Gump,9.5,221944,阿甘奔跑的意象，应该留在了很多人心里。
阿甘正传 Forrest Gump,9.5,221944,太甜美的美國夢
阿甘正传 Forrest Gump,9.5,221944,人生就像一盒巧克力，你不知道会选中哪一颗。
阿甘正传 Forrest Gump,9.5,221944,他的十二支船，每一支都是她的名字。她走后，他只得跑遍世界的每一个湖泊和沙漠来思念她，只等她一声召唤便死心塌地的回到她的身边。好莱坞编造一个这么纯粹的故事，让我们看到我们所拥有的感情，是多么的残破不堪。这简直是残忍的，不道德的。
阿甘正传 Forrest Gump,9.5,221944,又是七年后，重温一遍。上帝是仁慈的，妈妈走了，珍妮走了，朋友走了，可是给阿甘留下了一个孩子。要是没有孩子他该怎么活下去。也是电影的仁慈。
这个杀手不太冷 Léon,9.4,271152,一半的魅力来自反派：Gary Oldman.
这个杀手不太冷 Léon,9.4,271152,一个杀手被一个萝莉害死的故事
这个杀手不太冷 Léon,9.4,271152,"“这是关于两个小孩的故事，一个女孩和一个男孩，在他们心里，他们都是12岁，他们都感到失落而他们深爱彼此。” 　　　　　　　　　　　　　　　　　　　　　　　——吕克·贝松 "
这个杀手不太冷 Léon,9.4,271152,"Here in my stomach. It's all warm. I always had a knot there, and now.. it's gone."
这个杀手不太冷 Léon,9.4,271152,杀手又怎样？警察又如何？冷酷或者温柔，不是靠职业来评断。那个警察冷血的想让人捅死他~！而这个杀手，让人心疼的只想轻轻的温柔的抱抱他。
美丽人生 La vita è bella,9.5,190474,"即使是悲惨世界,也要大大的笑着."
美丽人生 La vita è bella,9.5,190474,这是父亲所作的牺牲，这是父亲赐我的恩典。★★★★☆
美丽人生 La vita è bella,9.5,190474,前后如同两部电影。前一半有多欢脱，后一半就有多苍凉。我特别在意那位执着与于猜谜的军官，善与恶，竟然最终抵不过一道谜题，这也是一种人生的况味吧。
美丽人生 La vita è bella,9.5,190474,三刷了。记得上学时跟父母吵过，中国的父母经常想让小孩相信这世界的丑陋，而国外的父母即便身在地狱也要让孩子相信在天堂，让他们开心的活着，你们为什么要让我的童年的这么痛苦。哈哈，大概就是受这剧影响吧。
美丽人生 La vita è bella,9.5,190474,关于父爱的伟大电影。以非凡的想象力和诙谐幽默演绎一场不堪回首的历史惨剧，那怦动的热情和对人生充满希望的美丽震撼人心。“为了看到阳光，我们来到世上。为了成为阳光，我们存于世上。”在Guido身上，你看不到那些痛苦、隐忍、挣扎和艰难。这位一直用荒谬的态度对待人生的荒谬、以达观的态度对
泰坦尼克号 Titanic,9.4,205012,爱你原本只是一瞬，却不知在时间的洪流中成了永恒。
泰坦尼克号 Titanic,9.4,205012,若干年后，2010年12月27日凌晨一点半，我不知道还有谁醒着没睡，还有谁和我一样，刚重温过这片子，或是刚刚打开准备重温。我又哭得很惨，这是毫无疑问的。我想，之所以不情愿活着，是因为没有那个如此相爱想要厮守的人；不情愿死去，是因为没有一个人如此爱我，值得我为他去死。
泰坦尼克号 Titanic,9.4,205012,学校组织放映的影片，大家好像对rose和jack恋爱过程猎奇，但是让我感动的一幕是轮船将要沉沦，海上乐队的绅士们整理领结，肃穆庄严的弹奏最后一曲，那一瞬间，仿佛听见一首镇魂曲在响彻。
泰坦尼克号 Titanic,9.4,205012,1998年，哈尔滨火车站地下给初恋女友买的盗版光盘。
泰坦尼克号 Titanic,9.4,205012,第一次看到沉船，第一次看到正面全裸，第一次看到伟大的爱情，第一次...
千与千寻 千と千尋の神隠し,9.3,255660,曾发生过的事请不可能忘记 只不过是你想不起罢了
千与千寻 千と千尋の神隠し,9.3,255660,最好的宫崎骏，最好的久石让。
千与千寻 千と千尋の神隠し,9.3,255660,一个寻找自我或者自我复苏的过程
千与千寻 千と千尋の神隠し,9.3,255660,曾经发生过的事情是不可能忘记的，只是想不起来罢了……你会帮我想起自己是谁对吧
千与千寻 千と千尋の神隠し,9.3,255660,宫崎骏没有迪斯尼那么花哨 甚至有些落伍 直到现在 他还坚持用手工绘画而不是电脑绘图来完成自己的卡通片 但他懂得一部卡通片 或者一部影片 应该用什么去打动别人 所以 宫崎骏笔下的形象是一个个人 而不是一个个没有知觉的卡通形象 
辛德勒的名单 Schindler's List,9.5,109824,“你从来不喝醉，那是绝佳的自制力。自制力就是权力。” “权力是当我们有绝对的理由去杀一个人的时候，我们却不那样做。那是古代帝王风范。那才是权力。”
辛德勒的名单 Schindler's List,9.5,109824,救人一命等于救全人类。集中营进得来，出不去，除非你从焚尸炉的烟囱里爬出去。
辛德勒的名单 Schindler's List,9.5,109824,献给导演认真的态度和无数个小高潮
辛德勒的名单 Schindler's List,9.5,109824,连姆·尼森后来又演了《通勤营救》《空中营救》《飓风营救》，半辈子都在营救别人。幸亏《辛德拉的名单》当年没在中国上映，要不然中文译名可能会是《辛德勒营救》。
辛德勒的名单 Schindler's List,9.5,109824,斯皮尔伯格，犹太人，世界最著名的导演之一，他通过黑白映像把第二次世界大战中德国纳粹犯下的滔天罪行传播到世界各地，那段对犹太人灭绝人性的杀戮终于大白于天下。苍天悲悯，辛德勒名单内是生命，外是死亡，他为此倾家荡产，1100犹太人得已生还，也记住了辛德勒这位伟人。
盗梦空间 Inception,9.3,259407,1、电影确实精彩。2、没有想象的难懂，相信你自己。3、总会有一个让你记一辈子的镜头。4、请降低期待值。5、请提前上厕所。6、记得关手机。7、一定要去影院，因为影院也是个造梦机器。8、记得听完结尾音乐。因为它负责让你醒来。9、极可能是近几年你在影院看过最精彩的电影。10、穿越吧少年
盗梦空间 Inception,9.3,259407,前期的口碑营销确实有点儿过了，绝对还没有达到神作的级别，但依旧是近年来最好的影片，诺兰独有的叙事技巧视觉风格以及影像语言都被完美的贯彻其中，其遵循并热爱的怀古之风从人物造型，台词蔓延到拍摄手法以及特效制作上，不过正因为如此，一些动作戏上的处理还有视觉奇观的展现则还不是那么过瘾。
盗梦空间 Inception,9.3,259407,确实挺好看。人人都在评论这片，我也评不出个鸟来了。因为《盗梦空间》这片，中国人民已经陷入了智商无限的癫狂幻想之中。人人都觉得自己的解释最牛逼，人人都觉得自己是哲学家，是心理学家，是数学家，是诺兰的知己。
盗梦空间 Inception,9.3,259407,迷离失所，戏假情真！
盗梦空间 Inception,9.3,259407,概念不算新鲜但还不错 ;p 充斥许多漂亮的慢动作镜头和带点匪夷所思的建筑构想，视觉效果挺棒的！偶尔会令我想起Paprika……
忠犬八公的故事 Hachi: A Dog's Tale,9.4,196134,八公的主人，也在天堂的门口等了它很久吧。
忠犬八公的故事 Hachi: A Dog's Tale,9.4,196134,Hachi就是爱一个人过一生了。
忠犬八公的故事 Hachi: A Dog's Tale,9.4,196134,动物是我的死穴...从头哭到尾..
忠犬八公的故事 Hachi: A Dog's Tale,9.4,196134,“等有一天它会给你捡球的时候，一定有什么特殊的理由” 八公用这种方式来告别了他的主人....
忠犬八公的故事 Hachi: A Dog's Tale,9.4,196134,想起回家的出租车上的广播，一对老夫妇丢失了狗狗寝食难安不知道该怎么生活，他们女儿在广播里说抱了狗的人，你们要是卖我们再买回来。尤其是她妈妈现在整个人都吃不下饭了，他们年纪大了，狗狗就是他们的生活寄托啊。【我已经使劲克制自己不哭了，但还是不行。】
海上钢琴师 La leggenda del pianista sull'oceano,9.3,224193,如果我把吉他练熟了，就可以不用买打火机啦
海上钢琴师 La leggenda del pianista sull'oceano,9.3,224193,每个人的心里都有自己的一艘船 一个近乎偏执的小归宿 只是因为它让我们感到实实在在的安全 不致无枝可依。
海上钢琴师 La leggenda del pianista sull'oceano,9.3,224193,一个人到底需要多大的世界呢？
海上钢琴师 La leggenda del pianista sull'oceano,9.3,224193,在船上出生，在船上死亡，他是一个从来没有存在过的人。第一次放弃下船，他放弃了财富和名气。第二次放弃下船，他放弃了生命。人们把音乐当成一种比赛，他不在意虚名和输赢。人们想利用他的才华致富，他不愿意让他的音乐离开他。人们浪费了太多的时间去问“为什么”，他想活得简单点。宁愿一生孤独，不愿随波逐流。人可以下船，但是不能离开大海。每个人的心中都有一片海，而他的大海是音乐，是钢琴，是那个女孩。
海上钢琴师 La leggenda del pianista sull'oceano,9.3,224193,我想有些东西只是能在特定的环境下生长。当环境变了，其他的一切都会变。
机器人总动员 WALL·E,9.3,151153,很久没看过这么可爱的动画片了。瓦力什么都不会说，除了那一声声执拗的：Eve！他们在星空画出美丽的弧线，他们无意间守候了一份真正的爱情。
机器人总动员 WALL·E,9.3,151153,我看哭了。。。
机器人总动员 WALL·E,9.3,151153,再也没有比《瓦力》更美的动画片了！谈到Wall·E的来源，导演安德鲁·斯坦顿否认了“ET”或者“霹雳五号”的说法（尽管外形很像），他只承认自己创造Wall·E受到了“小台灯”（Luxo）、双筒望远镜、R2-D2、迪士尼乐园“星空之旅”的机器人、卓别林以及伍迪·艾伦的影响。
机器人总动员 WALL·E,9.3,151153,小瓦力，大人生
机器人总动员 WALL·E,9.3,151153,堪称完美的动画作品。
三傻大闹宝莱坞 3 Idiots,9.2,243916,看了这部电影是我2010年最幸运的一件事 力荐！
三傻大闹宝莱坞 3 Idiots,9.2,243916,"【温馨提示：请忽略这傻逼名字.不然你会错过一部好电影】1、病毒的鸟巢飞来了一只自由之鸟；2、Ta有没有告诉你,朋友就是给你一枚硬币教你自己独立做出选择的那个人.这个人才是你最大的财富 ：）"
三傻大闹宝莱坞 3 Idiots,9.2,243916,当你不断追求卓越，成功就会不知不觉追赶你。害怕明天，怎能过好今天呢？心很脆弱，我们要学会哄它。鸡不会知道蛋的前程。学习是为了完善人生，而非享乐人生。只为生命而感激。朋友失败，你难过，朋友成功，你更难过。一切顺利。
三傻大闹宝莱坞 3 Idiots,9.2,243916,阿米尔·汗你是个天才！！！
三傻大闹宝莱坞 3 Idiots,9.2,243916,它又吵又闹、又臭又长，但我想不出什么理由不给它五颗星。
楚门的世界 The Truman Show,9.3,188745,我是不是也在楚门的世界活着？
楚门的世界 The Truman Show,9.3,188745,要想阻挡我 只有杀我
楚门的世界 The Truman Show,9.3,188745,最讽刺的难道不是电视旁的所谓观众么？导演老头子都比他们真情实感多了 观众为了他落泪欢呼击掌又如何 之前却从未想过让他离开 之后也只是换了一个节目频道罢了
楚门的世界 The Truman Show,9.3,188745,不止一次的怀疑所有人都在演戏，而我却蒙在鼓里
楚门的世界 The Truman Show,9.3,188745,换句话说，他的生活就是真实的生活，如果什么也没出现什么也没发现。再换句话说，所有的配角被迫清醒地站在这个虚拟的边缘，吃喝拉撒24小时待命，意识到此刻的高潮被以亿计算的人类消费着，除此之外生活的区别只是没有摄像头对着，不用去区分真或假。精神病和真实一线之隔。坚持到底你就赢了。
放牛班的春天 Les choristes,9.3,142107,星期六，贝贝抱着小熊跟马修老师回家了！QwQ
放牛班的春天 Les choristes,9.3,142107,这是一次心灵的洗礼，没人生本向恶，只是无情的手把人推向了无尽的深渊。Morhange每一次天使般的独唱，总让我感动的浑身直起鸡皮疙瘩，特别是那纸飞机从窗口飞出，“感谢、再见”的小手一挥，那份感动，不言而喻。而最重要的，看这部电影不仅是好“看”，天籁的童声更是听觉的享受。★★★★☆
放牛班的春天 Les choristes,9.3,142107,歌真好听，为什么我上学内会儿参加合唱队唱的都是《黄河大合唱》之类的
放牛班的春天 Les choristes,9.3,142107,看到激动地直起鸡皮疙瘩，看来总有那么一种类型的东西能感动本人
放牛班的春天 Les choristes,9.3,142107,每一个孩子都是天使！
星际穿越 Interstellar,9.3,236235,诺兰说：如果我活得够长 那么豆瓣TOP250就被我承包了。
星际穿越 Interstellar,9.3,236235,时间可以伸缩和折叠，唯独不能倒退。你的鹤发或许是我的童颜，而我一次呼吸能抵过你此生的岁月。
星际穿越 Interstellar,9.3,236235,太壮阔了，无以言表！40'渐入佳境，80'叹为观止，120'泪流满面，160'恍如隔世…不曾如此贴近浩瀚星空，被它环抱；不曾如此触摸生命之弦，遁入五维幻境。瑕不掩瑜的科幻神作，刷新视觉的IMAX体验，观影前撒好尿，准备接受近三小时的泪腺洗礼。“爱是一种力量，让我们超越时空感知它的存在”-发自豆瓣App
星际穿越 Interstellar,9.3,236235,三体迷们不用担心电影版会拍的稀烂啦！章北海船长，面壁人希恩斯，高维碎片，青铜时代和万有引力舰太空大战，冬眠和星际航行，三体世界的荒芜，高维世界的样貌，云天明的童话，诺兰新作中一次性看完！#刚刚看完星际穿越interstellar，感觉自己萌萌哒#
星际穿越 Interstellar,9.3,236235,非常理想化，所以显得很有种，没有公司敢让任何人拍这样的电影。致敬库布里克的镜头体现了导演的少女心。但有2001珠玉在前，我认为这部顶多和它并驾齐驱。诺兰尽其所能拍出了触手可及的科幻，硬核又充满人性，温情又隐含黑暗面，让人潸然泪下。“理想化”是不是削弱了剧本？大家保留各自意见吧。
大话西游之大圣娶亲 西遊記大結局之仙履奇緣,9.2,153324,无论是看第三十遍，还是第三十一遍，我都会对着那个寂寥的背影流泪。那落寞的大圣身上烙印着我青春时所有梦想，我们曾以为自己会成为盖世英雄，以为自己是这个世界的唯一，以为爱情专为自己存在，可是渐渐发现自己和别人没有什么不同，当你踏上社会时，总会有人看着你的背影说：看，他好像条狗啊！
大话西游之大圣娶亲 西遊記大結局之仙履奇緣,9.2,153324,小时候看着笑，长大了看着哭。
大话西游之大圣娶亲 西遊記大結局之仙履奇緣,9.2,153324,坐我旁边的那个年近四十、西装革履的男人从电影刚开始就止不住眼泪，有些地方哭着笑出声。而他的年轻女伴从开头就一直低头玩手机、到经典场景就煞有介事地拍张照片、不到一半时一直嚷嚷着无聊，硬是把那个男人拉走了。
大话西游之大圣娶亲 西遊記大結局之仙履奇緣,9.2,153324,因为你还没有遇到给你三颗痣的人
大话西游之大圣娶亲 西遊記大結局之仙履奇緣,9.2,153324,"哈哈,也是我最喜欢的电影之一了.看过好几次,第一次看笑得半死,后来居然又看哭了.其实可以喜欢到不太想得起来.但是是值得永远收藏的."
熔炉 도가니,9.3,136804,我们愤怒的不仅是禽兽的行径，更是禽兽逍遥法外，正义无处伸张，无能为力才是最痛苦和绝望的。一个非常容易感动观众的题材，尤其还是真实事件改编。其实电影还有很多提升空间，包括对犯罪场面的描述太刻意未也太多了。但仍喜欢这样的电影，这才是电影应有的立场。这就是我们和韩影的差距。3星半
熔炉 도가니,9.3,136804,不说别的，光电影那股正义的力量，就足以让人沸腾。
熔炉 도가니,9.3,136804,《内咸》--鲁迅
熔炉 도가니,9.3,136804,熔炉二字意思直到影片最后真正理解相信大多更是层层叠叠的无力感，这世界少部分人保留着人性多数猪狗不如，你不善可以但不要作恶。羡慕他们的制作环境至少能拍能过审，而中国的影片皆大欢喜的结局男女主角百分百的鸡巴爱情套路数的精良制作连说真话的机会都没有，我们怎么还有脸指责韩国，真羞耻。
熔炉 도가니,9.3,136804,我在想演戏的小孩子会不会有心理阴影
疯狂动物城 Zootopia,9.2,229578,做冰棍那机智的不像话！！！全片最爱！！！想吃！！！
疯狂动物城 Zootopia,9.2,229578,想嫁给又吊儿郎当又酷得不像话的狐狸先生。自认为是奥斯卡长篇动画的有力候选。啊啊啊，真的好好看，我要去二刷。
疯狂动物城 Zootopia,9.2,229578,最精彩的动画是用想象力拍出真实世界难以实现的故事，而不是用动物化填充一段如果是真人就普通到不能再普通的烂俗故事。笑料有，萌趣有，但更有的是莫名其妙的主旋律和政治正确，恐怕没有评分所体现的那么出色。
疯狂动物城 Zootopia,9.2,229578,"故事中规中矩，立意却是小孩看了笑大人看了深思的寓言故事。It's a story about minority, stereotype and acceptance. I'm glad disney plants the seed of equality to every child who sees this.兔子跟狐狸是最佳拍（情）档（侣）！警局前台豹子不是gay你找我！迪士尼彩蛋都棒棒的！"
疯狂动物城 Zootopia,9.2,229578,赞到惊人，大迪斯尼动画一年比一年精彩！朱迪只身去陌生的大城市追梦，让我又追忆起自己那美好而充实的留学生活了。Sloth们的每次出场自己都要笑到面瘫了！而朱迪跟尼克哭着道歉的那段我也跟着哭了，朋友之间有时候就应该这样把脸拉下来好好道歉！总体反映的各种社会现象以及政治问题都很贴切到位。
无间道 無間道,9.2,112207,当年我深刻的爱上了梁朝伟同学
无间道 無間道,9.2,112207,最后那一下爆头，刘德华和梁朝伟的眼神里都是震惊，他死在电梯里，电梯门来回的开关，我们也从震惊中恢复，觉得残酷，谁说的，好人有好报，那些为民除害的，都死了。会有人惦记着他们吗？把他们视为英雄吗？又有什么用呢，这个社会还不都是恶人当道。
无间道 無間道,9.2,112207,港片的里程碑
无间道 無間道,9.2,112207,现在看来，无间道一部电梯里挤了三个影帝，这部电梯也算是前无古人后无来者了。
无间道 無間道,9.2,112207,经典港片，无间道，如人生~~
龙猫 となりのトトロ,9.2,148805,人人心中都有个龙猫，童年就永远不会消失，爱是最美的拥有～★★★★★
龙猫 となりのトトロ,9.2,148805,宫崎骏真是个内心柔软的天才。能给这个残酷的世界这么多温暖。龙猫真像童年时的一场梦，长大之后似乎忘记了，突然看见它毛茸茸的身躯，就想起了所有的奢望。这大概就是我们得以在孤独中相互告慰的东西吧。无论怎样，成熟都是一场病，而能够治愈它的，大概只有对这个世界最温存的渴望。
龙猫 となりのトトロ,9.2,148805,萌啊，给我一只龙猫吧
龙猫 となりのトトロ,9.2,148805,宫崎骏最感人的一部，初看平平无奇，回味一下痛彻肺腑。
龙猫 となりのトトロ,9.2,148805,最喜欢的一部动漫 其实没有什么大的冲突点 整个就很平淡叙述 但一点也不会觉得无聊 看的很入迷 龙猫也超萌的  也看过很多遍 每看一次就又喜欢多一点
教父 The Godfather,9.3,97283,讲述的是一个好孩子怎么变成老大的过程
教父 The Godfather,9.3,97283,当一个新生儿在教堂接受教父的洗礼时，教堂之外的死亡正在蔓延……
教父 The Godfather,9.3,97283,科波拉是有厌女症吧？这片子里的女人要么圣母得让人恶心，要么就傻逼得遭人烦，除了哭哭啼啼就是无理取闹。最后一个镜头，麦克成为新的教父，一道门隔开他的妻子，不是没有理由的。这是一个男人的世界。相对来说我最喜欢医院里那场戏，拍得相当有张力，第一场婚礼戏也喜欢。
教父 The Godfather,9.3,97283,平缓的节奏蕴藏着巨大的权威和张力，音乐舒缓淡淡忧伤，利益博弈人性冲突。无论是演技还是镜头、音乐的运用，都给人以一种美的享受。而看这部电影是极其需要沉下心来细细品味，也无论何时翻出来重温都能有新的感受。★★★★☆
教父 The Godfather,9.3,97283,男性电影，没有打动我
当幸福来敲门 The Pursuit of Happyness,9.1,153513,看到开头就知道结局，不过这并不重要，重要的是过程。。。最感人的不是赢得职位，而是在厕所里捂住儿子的耳朵。。。作为一名容易感情用事的中国观众，感动比励志对我来说更重要=。=
当幸福来敲门 The Pursuit of Happyness,9.1,153513,我一直记得，有人对我说：当你迈过这个坎之后，你会发现，还会有什么不可以面对的困难。
