24小时最热排名,电影名称,电影类型,详情url,电影分级,本站排名,浏览次数,收藏次数,简介
11,沃克夫人,美剧,http://rrys2019.com/resource/39679,b,4792,7151,130,'勒布朗·詹姆斯将再次涉足影视圈，他的公司SpringHillEntertainment将制作一部剧集，奥克塔维亚·斯宾瑟正洽谈出演。该剧根据A''LeliaBundles小说《在她自己的领域》(OnHerOwnGround)改编。讲述企业家、社会活动家C·J·沃克女士不平凡的一生。妮可·亚瑟担任编剧，《黑暗的降生》导演卡斯·莱蒙斯执导。据悉，Netflix已有意购买。'
1,西部世界,美剧,http://rrys2019.com/resource/33701,e,9,6869252,165062,故事设定在未来世界，在一个庞大的高科技成人主题乐园中，有着拟真人的机器“接待员”能让游客享尽情欲、暴力等欲望的放纵，主要叙述被称为“西部世界”的未来主题公园。它提供给游客杀戮与性欲的满足。但是在这世界下，各种暗流涌动。部分机器人出现自我觉醒，发现了自己只是作为故事角色的存在，并且想摆脱乐园对其的控制；乐园的管理层害怕乐园的创造者控制着乐园的一切而试图夺其控制权，而乐园创造者则不会善罢甘休并且探寻其伙伴创造者曾经留下的谜团；而买下乐园的一名高管试图重新发现当年的旅程留下的谜团。
3,李尸朝鲜,韩剧,http://rrys2019.com/resource/37366,d,74,723482,52841,NETFLIX原创韩剧《李尸朝鲜》1月25号正式上线！本剧将由《隧道》导演金成勋与热剧《信号》编剧金恩熙合作打造！#朱智勋##裴斗娜##柳承龙#主演！在这个饱受贪腐和飢荒之苦的王国，一场神秘的瘟疫蔓延，被感染的人成为丧尸。被以叛逆之名构陷的王国世子为了拯救他的子民，于是著手调查，誓言找出藏在黑暗深处的邪恶力量。
13,我真正的天才女友,电影,http://rrys2019.com/resource/39678,a,4333,25339,735,《我的天才女友》衍生幕后纪录片，提供了详实的独家拍摄花絮，以及剧版完整的诞生流程。完全的信任和强烈的感情会导致忿恨、诡计和背叛。在小说历史上，女性友谊是一片未知区域，没有固定的规则。任何、一切都可能会发生。在小说中，对这种女性友谊的探索，非常艰巨，这是一场赌博，一种艰苦而激烈的承担。每走一步，你都要面临那种风险：即故事的诚实会被好心、伪善的算计，和那种令人作呕地拔高女性友谊的意识形态所蒙蔽。这次，让我们远离尘嚣，抛弃剧中的角色，用幕后镜头的视角，感受另一个世界的“莉拉”和“莱农”。
9,致国王的信,其他剧,http://rrys2019.com/resource/39682,c,2243,7168,467,编自TonkeDragt的荷兰同名畅销冒险小说，Netflix的改编剧《#致国王的信#TheLetterForTheKing》开始增员，剧组于纽西兰及布拉格拍摄。《致国王的信》讲述一个充满冒险及诡计的世界里，没人比Tiuri更想成为一名骑士，而现在他被委托送交一封有机密的信件。在主角与其他人的旅程当中，他们开始理解要成为真正的骑士得具备甚么条件。
8,星际迷航：皮卡德,美剧,http://rrys2019.com/resource/39386,b,220,229686,19186,《星际迷航：皮卡德》讲述Jean-LucPicard（PatrickStewart饰）舰长的新篇章故事，剧中一名年轻女子（IsaBriones饰）正面临危险，因此Jean-LucPicard决定带她到星际舰队上。
5,黑色星期一,美剧,http://rrys2019.com/resource/37435,e,2272,110950,6563,这是钱德尔自《谎言堂》后回归主演Showtime剧集，讲述1987年10月19日，华尔街遭遇史上最剧烈的股市暴跌，一队外来人士摧毁了华尔街那由蓝血贵族长期把握的财政体系。钱德尔饰演自学成才的股市大佬，兰内斯饰演股票交易神童，豪尔饰演一名操盘手主管。《嫁给我》编剧搭档DavidCaspe和JordanCahan写剧本并担任主创。
4,拯救吸血鬼女儿,法剧,http://rrys2019.com/resource/39680,c,4782,10627,374,吸血鬼确实存在，就在此，在我们之中。今时今日在巴黎，玛莎·拉德斯库（苏珊·克莱门特饰）的家人住在地下。但是，当16岁的多娜转变成一种新型的吸血鬼时，他们脆弱的平衡便开始破裂。半人半吸血鬼，多娜学着应对她的双重本性。日间，她对于朋友们是个危险的存在。夜间，她独特的魅力又被吸血鬼群体垂涎。
6,血色旅程,其他剧,http://rrys2019.com/resource/39628,e,3569,56291,3150,一名沉默的司机带着命中注定的乘客，前往一个未知的目的地。剧集由六个恐怖的故事组成。该剧将于3月13日播出。
7,星球大战9：天行者崛起,电影,http://rrys2019.com/resource/38949,,6945,106203,6754,在《星球大战8》的故事结束后，后传三部曲终于迎来了高潮。
12,68W,美剧,http://rrys2019.com/resource/39323,d,430,178814,10187,IMdB上4.9分，豆瓣8.2分，人人主站上8.9分（截止到2020年3月20日），是什么造成了天壤之别的中美差异？这究竟是人性的扭曲，还是道德的沦丧？所谓“辱美”是否确有其事？本剧讲述了一支拥有多元文化的美国陆军医疗队的故事，他们驻扎在阿富汗一处名为守护者的前沿作战基地，每集都上演着有趣的故事。欢迎各位观众一探究竟，给出自己的评分。【答应我不要点展开全文→】
