24小时最热排名,电影名称,电影类型,详情url,电影分级,本站排名,浏览次数,收藏次数,简介
9,李尸朝鲜,韩剧,http://rrys2019.com/resource/37366,d,72,745267,54154,NETFLIX原创韩剧《李尸朝鲜》1月25号正式上线！本剧将由《隧道》导演金成勋与热剧《信号》编剧金恩熙合作打造！#朱智勋##裴斗娜##柳承龙#主演！在这个饱受贪腐和飢荒之苦的王国，一场神秘的瘟疫蔓延，被感染的人成为丧尸。被以叛逆之名构陷的王国世子为了拯救他的子民，于是著手调查，誓言找出藏在黑暗深处的邪恶力量。
8,反美阴谋,美剧,http://rrys2019.com/resource/39526,d,4133,104672,5248,薇诺娜·瑞德、约翰·特托罗、安东尼·鲍伊(《德里女孩》)、佐伊·卡赞、摩根.斯佩克特(《疑犯追踪》)、艾奇·罗伯逊([超越生死的夜晚])将主演HBO六集限定剧《反美阴谋》。该剧改编自菲利普·罗斯2004年出版同名小说，故事以新泽西州一个工人阶级的犹太家庭为视角，讲述公开支持纳粹、反犹太人的美国飞行员CharlesLindbergh成功在政界崛起并成为总统后，他将如何奉行法西斯主义及逼害美国里的犹太人。大卫·西蒙、埃德·伯恩斯担任执行制片人。
11,星球大战9：天行者崛起,电影,http://rrys2019.com/resource/38949,b,7189,120288,7057,在《星球大战8》的故事结束后，后传三部曲终于迎来了高潮。
5,狩猎,电影,http://rrys2019.com/resource/39711,c,999999,9132,337,12个陌生人在空地上醒来。他们不知道自己在哪里，或者是如何到达这里的。他们不知道他们已经被选中，为了一个非常特殊的目的——捕猎。
12,隐形人,电影,http://rrys2019.com/resource/39693,c,7571,24660,1255,丝莉亚（伊莉莎白莫斯饰）被虐待狂科学家男友折磨至半死，几经艰辛才逃离魔掌。某日她收到通知，得悉对方自杀身亡，更意料地留给她一笔可观财产，怪事随即连环发生，陷井死局，诈光尽现，身边人也逐一遭殃！丝莉亚身心彻底崩溃，认定一切由「看不见」的前度作祟，背后更隐藏天大秘密；眼前一片凶白，随时已身陷惊杀！
2,可口vs百事：可乐之战,英剧,http://rrys2019.com/resource/39654,a,1660,27317,1020,'Documentaryabouttheongoingbattlebetweenworld-famousbrandsPepsiandCoca-Colatoprovewhichoneofthemistopofthepops.Thefilmlooksatthesecretsofeachdrink''ssuccessandalsorevealsthestrategiesandsecretsbehindthefiercecontestbetweenthelong-timerivals，interrogatingtheircannymarketingploysandaggressivepromotionaltechniquesintheirbattletowinthenever-endingcolawar.'
4,国土安全,美剧,http://rrys2019.com/resource/11088,c,26,10129763,53597,本剧由《24小时》制作人HowardGordon和AlexGansa联手打造，前《嗜血判官（Dexter）》剧集运作人ChipJohannessen也已经与Showtime电视台新剧《国土安全（Homeland）》签下合约，担任编剧及共同制作人。该剧演员阵容豪华，有《兄弟连（BandofBrothers）》主演DamianLewis、艾美奖得主ClaireDanes、《犯罪心理》前老大MandyPatinkin、《V星入侵》剧中女王MorenaBaccarin及英国演员DavidHarewood加盟。该剧根据以色列剧集《PrisonersofWar》改编，故事围绕在伊拉克被俘8年的美国海军中士NicholasBrody（DamianLewis饰）展开，美军在对敌方基地展开袭击时意外发现并救回了Nicholas。荣归故里的Nicholas受到英雄般的礼遇，妻子Jessica（MorenaBaccarin饰）和两个小孩更因能与他团聚倍感幸福，然而8年战犯生涯留下的创伤和折磨依然没有消逝。与此同时，中情局女特工CarrieAnderson（ClaireDanes饰）掌握了证据表明Brody已经变节，并为基地组织效力，在美国本土策划发动恐怖袭击。于是她一面跟经验老到的上司兼导师SaulBerenson（MandyPatinkin饰）联手展开调查，一面还要跟自负的情报处副处长DavidEstes（DavidHarewood饰）斗智斗勇。
3,难以置信的怪物,电影,http://rrys2019.com/resource/39662,c,9794,46823,302,Anambitiousprofessorbecomescaughtupinthemurderofaparticipantinhissleepstudy，asthelinesbetweendreamsandrealityblur.
7,巢,英剧,http://rrys2019.com/resource/39713,c,4566,4091,69,Howfarwouldyougotohaveababy?MartinCompston，SophieRundleandMirrenMackstarinthisemotionalthrilleraboutlove，trustandthetruecostofbuyingwhateveryouwant.Dan(Compston)andEmily(Rundle)arecrazyabouteachother.TheyliveinahugehouseinthenicestpartofGlasgowandwantfornothing.Butthey’vebeentryingtohaveababyforyearswithnosu...
1,西部世界,美剧,http://rrys2019.com/resource/33701,e,9,6991243,169398,故事设定在未来世界，在一个庞大的高科技成人主题乐园中，有着拟真人的机器“接待员”能让游客享尽情欲、暴力等欲望的放纵，主要叙述被称为“西部世界”的未来主题公园。它提供给游客杀戮与性欲的满足。但是在这世界下，各种暗流涌动。部分机器人出现自我觉醒，发现了自己只是作为故事角色的存在，并且想摆脱乐园对其的控制；乐园的管理层害怕乐园的创造者控制着乐园的一切而试图夺其控制权，而乐园创造者则不会善罢甘休并且探寻其伙伴创造者曾经留下的谜团；而买下乐园的一名高管试图重新发现当年的旅程留下的谜团。
