comment_title,comment_url,comment_content
写给自己。,https://movie.douban.com/review/8969171/,"
        
      
          © 本文版权归作者                      所有，任何形式转载请联系作者。
        经典。我这文字水平就没什么必要对电影本身多做评价了。说感触，非常深。尤其是在自己工作之后，生活的压力越来越大，自己有时候却懒惰拖延，只会在脑海里天人交战一番。这时候就非常佩服主人公，也许是因为生活所迫毫无退路，所以一往无前；也许是不服输不认命的性格和心态；也许是为人父的坚韧和隐忍。拎着个医疗器械箱子四处奔波碰壁，一天几百个电话被拒绝被咒骂依然毫不犹豫按下下一个号码，怎么能不让人动容。因为这部剧，我重新认识了销售这个行业，深知自己不足，更是佩服那些为了工作为了生计勇往直前的人。好的电影不仅是视觉上的愉悦，审美上的满足和观影体验的完美，更是要在以后的人生路，每每想起，充满了感慨和力量，鞭挞着自己，鼓励着自己。每个人都羡慕主人公成功一刻的泪水，抱着头走在人群中，内心的酸甜苦辣都在这一刻涌上心头，我成功了，我终于熬出头了，过去的苦和累，我恨你们，我更感谢你们。生活就是如此，越努力越幸运。"
或许，我们只是不善体会和表达对父亲的爱,https://movie.douban.com/review/8977043/,"
        
      
          © 本文版权归作者                      所有，任何形式转载请联系作者。
        不得不先吹一波威尔史密斯的演技。整部电影看完才幡然醒悟这是一部传记电影。已经第二次看这部电影，第一次是七年级的暑假作业，于是也就当作是作业去看了。这次看完，感触颇深……高价的手提式骨密度扫描仪让这个家庭渐渐走向破裂。妻子离开，但妻子临走时留下的那句“我相信你能照顾好他”暗中点出了故事结尾加德纳的成功。从穿着布满涂料的夹克外套和白色背心走办公室，被质问“一个人如果不穿一件衬衫来应聘，你会怎么想”时的幽默回答，到最后西装革履衬衫领带进入办公室被通知录取时的泪目，两组对比让我感触颇深。这其中多少艰辛岂是我们所能够体会的？从交不出房租被迫刷油漆，到汽车旅馆被强行搬离，沦落到地铁厕所以及救济所，这六个月实习的日子从他在地铁厕所脚抵着门、抱着儿子无声抽泣的场景便能看出来了。当沉浸在失败落寞的阴霾之中时，你会觉得周围的一切都仿佛在针对你。妻子离开，幼儿园朱阿姨的“不负责任”，骨密度扫描仪被偷，领导“请求”帮忙停车，要借10元车费......太多太多曾经没有过的不如意都在这段时间发生。可是，他对儿子却又是另一种关爱。篮球场上发现自己说错了话，就告诉他“不要让别人觉得你没有能力做这件事情”。在地铁站里的那个晚上，跟儿子一起按下那个黑色按钮，睁眼看到了恐龙。那场面多么真实！每个父亲或许都是一样，默默付出，不善言辞，只想着给自己孩子更好的生活。多少个日日夜夜不懈努力工作，却又或许会被一次怒火所遮盖。而有时，我们对待父亲也会不善表达出自己对父亲的爱，甚至觉得这理所应当。有时候突然感受到父亲的伟大，可是却又转瞬即逝。究竟是父爱不如山，还是我们没能体会到这种奋斗的艰辛，只有自己知道了。"
Are You Ready?,https://movie.douban.com/review/8977979/,"
        
      
          © 本文版权归作者                      所有，任何形式转载请联系作者。
           看《幸福来敲门》有感Happiness不是你想的那么难以触摸，也不是那么容易地出现在你身边。多次的擦身而过，多次的转身离开，多次众叛亲离，多次地努力在有限时间中拉业务，多次流浪街头后的克里斯才能够摸到幸福。片中的音乐都很“恰逢其时”，像克里斯和小克很落魄地在教堂祷告时，那教堂的歌队唱着福音，悠扬而空灵。那个领头人还是个黑人呢，就是这部片，让我觉得黑人很多才多艺，唱歌、跑步……每当克里斯跑步的时候，都能感觉到街景的快速倒退和克里斯的西装裤的超快频率。看美帝的片子就是这样，音乐很美妙，不是说像内地电影很多的那种肯定是有词的音乐，而是有很多交响乐、小曲、圣歌福音、乡村音乐……反正就是比较贴合场景，让人整个人能够沉浸其中。"
《当“贫穷”来敲门》,https://movie.douban.com/review/8978550/,"
        《当幸福来敲门》描述的原来是80年代美国经济大萧条时期的故事,主人公Chris从走错一步投资了骨密仪后生活陷入艰难,入不敷出,不得不考虑找份新工作（人生走错一步的风险）。可是他既没接受高等教育(高学历）,又从未培训过什么技能,在社会大萧条时期谁会雇用他呢？房租到期、罚款催缴、又要帮房东刷漆、骨密仪又几经丢失、甚至新的实习工作也常受上司的干扰,希望与机会被生活倾碾的十分渺茫。倘若他让一切let it go，放任生活对自己的折磨,毫无疑问,生活将变得更糟。他的妻子已经离他而去,他不能失去自己的儿子。实习工作是他唯一的希望,他必须全力为之奋斗。他很敏锐地看到一家基金公司有可能成为大客户,受时间限制他不能按常规逐一去打电话,他不得不用谎言作些伪装,好让自己看起来不那么贫穷——因为这个社会不相信贫穷有智慧。贫穷可以夺走人的尊严、礼貌、可以夺走一个人的住所、教育,但不能夺走一个人求生的本能。为了生活他们尽管贫穷,但他们懂得努力——尽可能表现的如这世界所期望,表现得自己好像也接受过高等教育,表现得自己也出身于良好传统的家庭,但其实他们并不具有这些。所以每当我听到有人说自己讨厌和学历低的人打交道时,我应该记住,做正确的事,但也应尊重这些学历低的人,他们也是被游戏规则塑造的,制度可以规范人。前面提到“人生走错一步的风险”，是啊，不是每个人都有一位老练智慧的人生导师，能帮我们分析怎么选择，路怎么走，父母也许不懂什么阶层规律职业发展，有他们的默默支持就已经足够幸福。身边有几个和我一样有想法的朋友，我的天马行空不被看作幼稚，对事物广泛而深刻的认识能够赢得他们的认可，夫复何求？也许没有人生导师是一件幸运的事，一辈子一直不断的中奖和中奖前的期待与兴奋是完全不同的，一个叫走向终结，一个叫走过旅程。
      
          © 本文版权归作者                      所有，任何形式转载请联系作者。
        "
一部教会你走向幸福的圣经,https://movie.douban.com/review/8979660/,"
        
      
          © 本文版权归作者                      所有，任何形式转载请联系作者。
        全程无尿点，我就那么安静的带着耳机从头看到尾。很真实的展现出小人物从坎坷走到幸福的过程。非常的生动、真实。困难在这样的家庭是非常常见的，而可贵的是克里斯从头到尾我就没有看到他有任何想放弃的影子，他虽然落魄，艰难，对于孩子的无助，痛苦但他一直在坚持着，这应该是他最后能有美满结局的必要点。其次在他身上，我们能看到他在细节上的聪明，从抓住了自己数学上的天赋去寻找工作，到不盲目的像别人一样需找客户，到机智地去看橄榄球到认识更多可以被投资的对象，这些无不体现出他的智慧。心态往往也是你走向成功的一个关键，考试时虽然紧张，但是他依然的仔细。面试时狼狈不堪，也能从容幽默的面对。在寻找工作的时候，我觉得克里斯遇到的杰也算是他的一位贵人，赏识他，肯定支持他。在现在，能遇到这样的人真是人生中的幸运和难得。克里斯的善良老实也是贯彻了整个电影，他在没有钱的时候还能够借给那个大股东（还是老总）5美元，这部分我不知道和他最后应聘成功有没有关系，但是在平时的实习中，他那些端茶倒水，和耽误他那次给别人停车，这些很明显他是不情愿，但真的是必要的。整个电影除了克里斯一直坚持他的信念意外另一个高潮部分就是对他儿子的爱了。这个父亲承担了人生最痛苦的负担依然牵扯着他宝贝的孩子，而且不是把他儿子当作负担，而是何时何地都依然细微的照顾，这里真的是不容易，他的儿子有他这样的父亲本身就已经是幸福了。克里斯平时也是无时无刻不在注重他孩子的教育，当他看到幼儿园门口错别字，知道老师只是给他们看电视，和平时路上问他一系列问题都能看得出他希望儿子能够成才。打篮球那个场景也是让我很深刻，他看到儿子并不擅长篮球时，我想，他是想到了自己，他希望儿子也能像他一样发现自己的长处并利用，于是便否定了他。看到这里我不免有些失望。而就在这时克里斯经过思考，便肯定而严肃的告诉了自己的儿子要坚定自己的理想，就算是他的父亲否定他也不能放弃。克里斯走向幸福的道路有偶然但缺少了他现在身上的品质，他只会依然落魄，这是我们人生的一部向导，在你落魄时教你通向幸福的教科书。演员的表演没有任何瑕疵，克里斯走出公司走向人群，我相信每一个观众心里已经替他流出了泪水，心里为他鼓掌呐喊，那一刻他应该被写入影视的经典。"
happyness,https://movie.douban.com/review/8980602/,"
        
      Happiness lies in the struggle to be happy. Maybe sometimes happyness is an illusion, but we could fight unswervingly and hold the confidence that we will be successful one day. Best wishes to all of you."
不要错过幸福,https://movie.douban.com/review/8986100/,"
        每当我觉得我的生活怎么那么多挫折，很失意，感觉活不下去的时候，我都会看这一部电影。它让我知道我遇到的困难在克里斯面前不值得一提，我来来回回大概看了七八遍了，这部电影真的是我推荐一生的电影。它教会我们要乐观的面对困难，无论怎么样生活还得继续，说不定在下一秒，生活就会迎来曙光。有时候一部电影带来的影响力远远超过我们的想象，它会让人从挫折里面站起来，获得新生。每一次看这部电影的时候我都会哭，仿佛我也在经历克里斯所经受的挫折，我经常问自己如果我是克里斯的话我会怎么样呢？我会坚强的活下来还是放弃生命或者一直萎靡不振呢？不得而知。我只知道这部电影改变了我对待生活的态度，对待挫折的态度。
      
          © 本文版权归作者                      所有，任何形式转载请联系作者。
        "
不要停下来,https://movie.douban.com/review/8990702/,"
        
      
          © 本文版权归作者                      所有，任何形式转载请联系作者。
                整段影片几乎都让人很压抑，不知不觉便被主人公带入到了绝望边缘：被冻结财产、被房东赶出家门、带着儿子在厕所过夜。。。还好男主始终不曾放弃，我想因为儿子是他最大的精神支柱，所以他一定要奔跑：跑着面试、跑着见客户、跑着去追赶拿走他仪器的人、跑着追逐能给儿子的幸福生活。        犹如我现在的生活状态，但我还是缺少了很多勇气，最近喝了不少“鸡汤”，不断给自己加油打气，只要不停下来，一切都还有希望。停下了，就是和希望说了bye。有梦想就要守护它，前路再难，请再坚持一下，不要停。"
当幸福来敲门,https://movie.douban.com/review/8992433/,"
        当幸福来敲门也是上周看的电影，趁着感触还挺深的，上来写一票不算影评吧，就自己的感受分享，看忠犬八公的时候我是放声大哭，然而看敲门的时候我没有哭，心里却很难受，彷佛都能体会到他内心的那种无助和无奈，在卫生间睡觉的时候尤其让人心酸，还为了顾及自己儿子而编了善意的谎言，可是儿子入睡以后，听到外面有人敲门，他哭的时候真的是非常难过了，演的也超级好，哭戏不多，可是每一滴眼泪都很有戏，成年人的生活没有容易二字。
      
          © 本文版权归作者                      所有，任何形式转载请联系作者。
        "
不要放弃追求幸福,https://movie.douban.com/review/8994315/,"
        
      
          © 本文版权归作者                      所有，任何形式转载请联系作者。
        整部电影前99%都在讲述生活没有最悲惨，只有更悲惨。比如克里斯推销不出医疗仪器，没有收入，妻子忍受不了，离开家庭；比如因为拖欠车的罚单，被关监狱，而第二天却有面试，不得不满身污点、颓废邋遢的样子前去面试；比如终于卖出几台仪器，银行账户上有了一点点存款，却因为被罚税款，钱被扣到只剩二十多块；比如被赶出旅馆，不得不在地铁卫生间中过夜，不得不赶时间排队等教堂救济。所有这些情节都让我想起之前看的《这个杀手不太冷》中印象深刻的台词，“人生总是这么痛苦吗？还是只有小时候这样？总是如此”。有人生活充满阳光，每天脸上洋溢着幸福的笑容；也有人为了生计，每天辛苦奔波，还得面对生活一个又一个的打击，似乎总是在低估里爬不出来。克里斯就是后一种人。克里斯的人生信条里没有“失败”与“放弃”，他每天提着医疗仪器到各个医院去推销，他坚信自己坚持就能卖出所有的仪器。克里斯生活最困难的时候应该就是白天在迪安公司做没有工资的实习生，下午五点前赶着去教堂排队，希望能有个可以睡觉的地方。一方面他要努力工作，争取客户，争取能留在迪安公司，另一方面他还要照顾儿子，努力给儿子找到能够安眠的地方。在我看的时候都能感觉到那种生活的重担，但克里斯没有流露出丁点的放弃，仅有的一次哭泣也是在地铁的卫生间里。你说人有多抗压呢，只要坚持不放弃，只要咬牙坚持生活，总会一天天的过去，总会找到生存下去的方法。你说人有多脆弱呢，也总会有人承受不了分手的伤心、失业的痛苦，选择结束自己的生命。我所希望的是，每个人都坚如磐草，春风吹又生。克里斯是个好爸爸，克里斯托夫也是个好儿子。也许生在一个贫穷家庭孩子总会特别懂事，特别早熟，克里斯托夫能够感受到家里生活的艰难，他听话懂事，从不哭闹，从不纠缠父母。在商店买东西时，看到想要的东西，他也就是盯着看看，在父亲询问他是否想要时，他摇了摇头，没有像现在的小孩子哭闹着让爸爸一定买给他。克里斯托夫躺在救济教堂的床上，向父亲说“你是一个好爸爸”时，我真的真的非常感动，这个小孩子真的很懂事，很贴心，如果来参加《爸爸去哪儿》，一定是能萌化所有人的那种小孩。克里斯因为他自己28岁时才见到自己的父亲，所以他决定做个好爸爸，把所有的爱都给了儿子，不管生活多么艰难，都没有扔掉自己的儿子。美国似乎有很多那种父亲或母亲养活不了孩子，就把孩子送人的事情，这样做，虽然能减轻自己的生活负担，但却抛弃了孩子。人生也许就是一场痛苦的旅程，充满各种各样的不幸，但是不要放弃对幸福的追求，我们不会永远都掉在低谷里。"
