用户名,评分,推荐,内容,评论时间
AlphaDiao,5,力荐,觉得此生又有了希望……虽然已经29了又怎样,2016-12-30
[已注销],5,力荐,学习方法的工具书，其要点：1.脱离学习舒适区，抛弃已掌握知识直接攻克高级阶段。2.刻意进行难度训练，练习自己一直恐惧且逃避的学习内容。3.不断的专注的重复重复重复。4.获得反馈，将学到的理论用于实践。,2016-11-21
Miss bean,4,推荐,理论ok...真的太啰嗦了……可以压缩到十页好吗……,2016-12-31
null,5,力荐,90分钟让你明白「90分钟学会xxx」都是放屁。刚刚1.5小时看完15万字的一本书，怎么做到的？上网搜「如何快速理解一本书」之类的，然后开始「刻意练习」。,2016-11-25
Renzo,1,很差,看到这类全是案例的畅销书要长个心眼，此书信息密度太低，就像是我高中时写的议论文，什么素材都往题目套。,2017-02-03
诚猫组务号,2,较差,"超～～～极～～～啰～～～嗦～～～

明明８００字就能解决的问题啊这～～～",2017-01-18
Henry,3,还行,......一页纸就能说清楚，非要写一本书,2017-01-25
sundevilyang,4,推荐,学，是人与人的信息分享；习，「刻意练习」是一种孤独的追求；知识教育，大多重「学」轻「习」。须知，学习技能的思维，「能做什么」远比「知道什么」有效，因为确定了前者后者也就随之而来。推荐此书，不光让我了解很多学习的窍门，也让我明白过去自己课程设计有缺陷的地方。,2016-11-01
Alcibiades,1,很差,我承认自己是以极快的速度浏览完的。但是这本书基本就上把几句话扩展成一本300多页的书。啰里啰嗦磨磨唧唧，把读者当成弱者儿童，当成小学都毕业不了的白痴。本书秉承了美国式成功学畅销书的典范，面向的是连拼写都完不成的公立学校教育出来的美国人吧。中心思想在万维钢的关于刻意练习的文章中都写明了，就是针对不舒适不安全的区位刻意练习。这个方法对练个体育或者小提琴也许有作用吧。但就算完全按照他说得那样做，不过是一个熟练的匠人罢了。我再也不看美国成功学了。看完真是愤怒。要不是我决定再也不在读书时半途而废，我根本不会读完它。,2016-12-28
腰腰,3,还行,举了大量例子说了两件事：1.只要通过刻意练习，谁都是天才；2.刻意练习不是埋头练习。,2016-12-15
nothing传叔,3,还行,比较罗嗦，但是特别打脸那些自称“一万小时实践者”的人（萦），啊哈哈哈。。。,2017-02-04
邵三叔,4,推荐,这本书讲的是：你在家做了10000个小时的饭没有成为大师，在新东方学习了三年，高薪就业了！,2017-01-20
innsbruck,2,较差,"垃圾，没啥内容，一个观点下面，找一大推例子和典故，这畅销书的写法太low了
都是宣传的好。",2017-02-02
小轩Eileen,4,推荐,两个重点：1. 创建有效的心理表征是专家和一般人的主要区别；2. 世界上没有天才，潜力是可以开发的，并且要大量的刻意练习。读完以后明白了为何老板在seminar开始几分钟以后就打瞌睡，但醒过来却总能提出高质量的问题了。这本书对于个人精进和子女教养上很有启发。,2016-11-22
甲🌈,5,力荐,"书的概念不算新，但是我本人非常认同。比如关于""意志力""""天赋""""天真练习vs刻意练习""等的阐述。读之前我一直在反思自己在马拉松、日语学习、钢琴中的练习方式。自己的想法和书里的蛮一致的。总之如果你已经处于""可以坚持练习""的阶段，而且想把目标从""可接受的""再提高一步，这本书很适合。",2016-11-18
SadTomato,3,还行,建议缩短到2万字。,2017-02-04
鹿小爱,4,推荐,作者举了无数个例子证明只要经过刻意练习，你也可以成为很厉害的人,2016-11-06
山兔子园园,2,较差,好啰嗦，干货少,2017-01-02
Apka,1,很差,推荐序是豆瓣红人写的，我就不点名骂了。写序不是让你贬低前人，草泥马逼《异类》《一万小时天才理论》你究竟读没读？心里有点逼数吗？,2018-05-14
慎独,2,较差,这种东西评8分，是水军的力量，还是无脑的群众真的太多？,2016-12-12
Brad,3,还行,作者全文反复一直在强调一个观点：练习，不断地练习，反馈效果，走出舒适区。论证太多了反而没必要，即便论点我也是部分赞同的。没看完 (30%)，不看了。,2017-01-12
森风,5,力荐,"刻意训练，需要内在动机刺激自己不断走出confort zone，需要有及时的feadback，需要用习惯来减少意志力损耗以保持focus。
反思小和尚念经式付出的良好感觉。",2016-11-20
Sky,3,还行,1-15 在飞机上3个小时读完。这一类的工具书看多了七八成的方法论都是差不多，和《异类》、《一万小时理论》内容有重叠。,2017-01-28
倪考梦,5,力荐,第七章“成为杰出人物的路线图”特别好，谈了如何从爱好者变成学徒、专家和大师。,2016-11-14
软体不稳那那酱,1,很差,凑单买的，对我来说没什么用，估计之后就拿去送人或者给图书馆了。总结起来就是“少丧少懒多练多做”，这不废话么，速读到尾都没看见教人怎么少丧少懒,2017-01-10
陈小憨˙Ꙫ˙,4,推荐,美国人总能把一篇论文写清楚的东西写成一本书。,2017-02-16
素素,5,力荐,很有用，让我不再妄自菲薄也不再盲目自信，确认 所有的成功都要经过有目的、有方法的练习，并且是大量的长时间的练习。,2017-04-02
MaY°玫,5,力荐,原来这是新书啊，难怪读得人还不够多。本文有点此类书的通病，就是写得又长又烦琐，可能只要十页就能讲完讲清楚，不过外国人逻辑科研严谨用了很多年和各行各业的实验数据来认证所以也没有毛病，看得时候简直是追着看。看完你会发现这世上没有天才，有的只是从小在你不知情的情况下刻意练习产生了效果，然后别人夸奖你取得正面反馈机制投入更多热情去做那件事情哈哈哈。厉害了我的书！！！！,2017-01-24
秋水,2,较差,没有觉得有什么可以学习的地方,2017-01-12
陆钓雪,3,还行,不断重复只是“天真的练习”，无法带来进步。“正确的练习”需要好导师、有目标、有反馈……无论你是孩子还是成年人，无论你是否有“天赋”，只要掌握正确的方法，你的梦想都可以实现。如果你相信“21天学会C语言”“3天学会弹钢琴”，那么本书不适合你。如果你不满足于自己的能力只是“足够好”，一直在追求“非常好”，那么本书就是为你而写的。放弃一切错误方法，从今天开始“刻意练习”，因为这是最强大的，也是唯一正确的学习方法。钓雪按：做学术嘛，非要说有捷径的话那就只有一条，便是聪明人下笨功夫。,2019-02-23
鹿小洁,3,还行,"“心理表征”。全书只有这个段落最吸引我，就是大师和新手对于大量数据块的大脑处理。新手对此无感。
如果知识和记忆不能被主观调用，真的不是有效率的练习！
从舒适区走出来，睁眼看世界！",2017-01-04
