"idx","content","star"
"1","读《活着》的过程我很平静，除了有庆献血而死的描述让我呼吸急促。在那个年代像福贵式的悲剧小人物多如牛毛，他们愚昧，勤劳，坚强，隐忍，他们被时代的洪流裹挟着无法喘息，唯有努力活下去才能活下去。福贵的悲哀是每一个中国人的悲哀，谁都无法幸免。第一次读余华，他看似沉重冷静的描述却字字见血。","推荐"
"2","读起来太顺畅，经典就是经典","力荐"
"3","看见了人生悲苦，看见了底层人民的乐观和坚强，看见了生命的柔韧，看见了命运和岁月那不动声色的力量。","力荐"
"4","第一次见序这么多的一本书。（但是三星是更复杂的原因，短评里说不清的原因，不是因为序多……）","还行"
"5","在《活着》中，管去世叫“熟了”。最初是福贵的爹“熟了”，初闻不解，后文说道，人死像熟透的梨，离树而落。梨者，离也。","力荐"
"6","我看着那条弯曲着通向城里的小路，听不到我儿子赤脚跑来的声音，月光照在路上，像是撒满了盐。","力荐"
"7","像被悶槌重擊的胸口，無法喘息的痛。","力荐"
"8","“人是为了活着本身而活着的，而不是为了活着之外的任何事物而活着”","力荐"
"9","朴素的语言描述了福贵的一生，经历了中国的各个时期，内战、人民公社、文化大革命，福贵还活着，陪他经历这一切的人却纷纷逝世，老的、少的，都顷刻湮没在历史中。中文中的这两个字：活着，太贴主题，不是生活，不是苟活，就是活着。","力荐"
"10","好几次读了。我们来这世上一遭，当然不能只为了活着。要追求更长远的人生意义。但对于一些遇到点小挫折就悲伤难过，仿佛全世界只有他一个人运气不佳、波折坎坷的年轻人，实在很有必要看看《活着》。不是叫你来比谁惨的，而是叫你知道，大家都有不容易的时候，每个人这辈子都遭遇过许多苦难。你那点破事儿，根本不值一提！坚强些吧！好好活着！","力荐"
"11","眼里看的是别人的故事 心里想的是自己的生活","推荐"
"12","意外的好读，应该是我读过的国内小说里最好读的，没有之一。读完一直纠结“有必要这么惨吗！”平静下来想想，确实可能这么惨。只能说，还好改革开放了。感谢邓小平。","力荐"
"13","余华笔下的精彩，是他没有废话。一个人为之一生的跌宕起伏，像是一艘破烂的小船挣扎在狂风暴雨的大海里，但这却是很多年以来中国农民的写照：隐忍。有庆之死让我难过了好一阵，二喜的哭又让我心里一凉，所有的悲剧并不是一个人的命不好，而是让人感受到“活着”本身就是一种力量，你以为是命运选择了你，但你能选择人生态度。","推荐"
"14","余华的笔法是残忍而善良的。福贵的命运仿佛神话悲剧一般不可违抗，在旁观者我的视角里不断苦熬着，而作为＂你一生的故事＂中自身的叙述者，他有只是那个灾难时代的普通人一般生活着。末了哼着＂少年去游荡，中年想掘藏，晚年做和尚＂消失在视野中时候，作者又给予读者一丝安慰：活着的意志，是他唯一没被夺走之物。人生对他而言，“窄若手掌又宽若大地”。","力荐"
"15","有些时候我真想写点这样的文章，看完人家的东西以后你才知道自己写的有多肤浅。","力荐"
"16","谁过中国人没有信仰？中国人的信仰就是两个字，活着。","力荐"
"17","福 。贵","力荐"
"18","to living is luck，but life sucks","力荐"
"19","从凤霞难产而亡开始，眼泪止不住地掉，每每回忆时也免不了眼角的湿润。正如余华在序言中说到的，时间是最好的见证，时间造就了一切：苦难、喜悦、悲惨等。也是时间让我们看到魔力，看到活着的魔力。","力荐"
"20","一打开就一定要看完才睡！","力荐"
"21","好几次都想合上不看了，可还是整本读下来了。福贵是麻木的，也是乐观的。文字很质朴，就是太疼了。。","力荐"
