uid,area,ipadd,usertype,agree,cmttime,content
1420706903,北京,218.240.149.151,pc,3,2020-04-28 11:03:10,"那几位皮肤变黑医生患者目前如何了？很关心他们的状况。"

1772779865,广东阳江,113.94.193.77,pc,7,2020-04-28 10:36:59,"武汉胜利了，湖北胜利了，离全国胜利只差一步了！愿逝者安息，生者安康！[赞]"

3972813384,印度尼西亚西爪哇省,36.79.253.223,pc,5,2020-04-28 09:59:35,"彩虹漫烂，敢教日月换新天。"

7414138721,吉林四平,175.30.151.145,pc,1,2020-04-28 09:51:37,"我们应该脱贫清零，腐败清零，不满清零，仇敌灭净！！"

7414138721,吉林四平,175.30.151.145,pc,0,2020-04-28 09:48:43,"中华文明自史有，加我一个不算多！！"

1004991153,广东深圳,58.250.250.56,pc,8,2020-04-28 09:26:05,"武汉赢了，湖北赢了，中国赢了！！！  泪水顿作倾盆雨，汉江汩汩金夏来！"

1186723763,浙江金华,39.183.155.164,pc,5,2020-04-28 09:22:37,"更爱我的祖国了！看看现在世界上其他国家，看看美国。真的很自豪！"

1843502000,江苏宿迁,117.95.184.144,pc,2,2020-04-28 09:17:04,"这个是值得庆贺的，取得这样的结果太不容易了。"

7414138721,吉林四平,175.30.151.145,pc,6,2020-04-28 08:50:01,"国之巨大成就，武汉人民应该更加骄傲！！！"

7444332997,山东德州,111.17.199.246,pc,10,2020-04-28 08:39:50,"这场战役也让我们看到了人性的美和丑，让我们感受到了雪中送炭的温暖，也看清了西方某些政客的落井下石，冷眼旁观，冷嘲热讽，污蔑抹黑的丑恶嘴脸。"

3284785721,山东德州,222.133.16.186,pc,10,2020-04-28 08:16:55,"通过这件大事又增强了民族自信心"

5901367109,四川凉山彝族自治州,112.45.139.86,pc,3,2020-04-28 08:11:05,"这一刻，只有眼泪"

1400648770,山西大同,110.181.9.9,pc,6,2020-04-28 07:26:16,"我也是，武汉、湖北，太不容易了！"

3775931947,浙江温州,60.180.131.71,pc,3,2020-04-28 05:47:35,"“泪水顿作流下来，武汉胜了，我们中国胜了！！！"

1498578484,上海,101.88.22.55,pc,35,2020-04-27 22:30:12,"武汉赢则湖北赢，湖北赢则中国赢！[赞][赞][赞]"

7436394654,北京,111.196.190.17,pc,3,2020-04-27 20:58:27,"庆祝一下~"

2924649977,山东淄博,221.1.34.1,pc,10,2020-04-27 20:45:13,"真心不容易啊，感谢所有为之奋斗的人！！！"

5124560270,湖北武汉,58.49.101.205,pc,7,2020-04-27 20:26:19,"武汉应该建一座纪念碑，形状就是0"

1028064053,河北廊坊,221.194.141.77,pc,3,2020-04-27 19:25:20,"祝贺取得重要的阶段性胜利！努力奋斗，坚持严防，彻底消除，直至胜利！"

1151200075,北京,106.120.98.218,pc,8,2020-04-27 16:43:31,"赛道一样的0 ，代表着为了抗击疫情，医护人员和广大人民群众共同努力在这条时间的赛道上跨过了终点线"

