"mid","content","uid","area","nick","ip","newsid","time"
"5E9C7D48-B7148761-4B36A59F-95C-8AD","特朗普意思是台湾是中国的一部分，不应该强调来自台湾，你们误会了。。。","1261872543","广东阳江","1234562ee","183.20.135.97","comos-ircuyvh8608153","2020-04-20 00:33:12"
"5E9C795E-65575482-3EA34C86-95C-945","真的有些无赖的样子，无以复加","1050889350","上海","知天命的季节","101.87.84.130","comos-ircuyvh8608153","2020-04-20 00:16:31"
"5E9C72BE-DF685B56-EBFAE514-95C-869","美国人中那么多疯狗，选出这么一条疯狗总统","3959088404","广西","luck39168","223.104.91.86","comos-ircuyvh8608153","2020-04-19 23:48:17"
"5E9C7262-DF484485-3E663BBA-95C-9AC","美国人真的疯了","1046887354","北京","天马365","223.72.68.133","comos-ircuyvh8608153","2020-04-19 23:46:43"
"5E9C7202-249B0DFE-62026BD5-95C-97C","特朗普利用在总统任期内，让他的家族生意赚得盘满钵满。谁知可谓是天不从人愿，让他的算盘打空了。他面对这次疫情，他表现得手足无措、前言不对后语、上串下跳、见谁咬谁，这明显是精神分裂的症状啊！","1644325845","江苏","wang_hami_aikeo","36.155.13.254","comos-ircuyvh8608153","2020-04-19 23:45:07"
"5E9C6E57-6F1BBE22-3E57ED18-95C-922","台湾就是想吃大陆的饭，砸大陆的锅，可惜，他做不到，大陆应该收紧台湾脖子上的绞索了！！！","1045949720","吉林","不长草的星球","111.27.190.34","comos-ircuyvh8608153","2020-04-19 23:29:27"
"5E9C6CBB-65CEFD82-D0055E4-95C-802","TRUMP：其实我是一个演员。[哈哈]","218125796","四川成都","熊市的Eric","101.206.253.130","comos-ircuyvh8608153","2020-04-19 23:22:36"
"5E9C6B5F-6558600F-1B92153A7-95C-8BE","严重怀疑白宫的保健医生被解雇了，最近特朗普张着大嘴到处随意乱喷大放厥词，明显是几天没吃药，联想到他执政初期美国好多精神科医生质疑他精神异常，当时我还想这么大国家不至于放一个精神病来管理吧，现在看来这事大有可能，也不知道现在他身边还有谁能提醒他按时吃药，也许是佩洛西能吧。。。","7400936359","上海","我独自在风雨中886","101.88.96.15","comos-ircuyvh8608153","2020-04-19 23:16:47"
"5E9C6A7E-DC98C937-656B426D-95C-832","自从大金毛进了白宫，他的神经病可严重太多了。","1701528173","广东深圳","奉旨炒股_rq9","220.152.201.55","comos-ircuyvh8608153","2020-04-19 23:13:02"
"5E9C6938-75B0C761-EBDACE5A-95C-960","baby","3956985434","四川成都","我的脾气不怎么好呀哈","117.176.199.97","comos-ircuyvh8608153","2020-04-19 23:07:36"
"5E9C68FF-314AC595-542731A5-95C-908","又是姓“环”的，歪曲事实，还振振有词！","1411854757","江苏南京","天边人666888","49.74.197.149","comos-ircuyvh8608153","2020-04-19 23:06:39"
"5E9C6859-314AC595-542731A5-95C-8A3","聪明人不会被糊弄@！","1411854757","江苏南京","天边人666888","49.74.197.149","comos-ircuyvh8608153","2020-04-19 23:03:54"
"5E9C6733-9D00CFA6-14855D17C-95C-8A3","晚上好[好喜欢]","5508551036","江苏徐州","一大碗玻璃球","157.0.207.166","comos-ircuyvh8608153","2020-04-19 22:58:59"
"5E9C670B-700B0575-541B1B9B-95C-8D0","凡是不要慌，泡杯茶，看着每天3万多的感染量，默默的偷着乐，你们千万别管病毒，可劲的造","1411062683","浙江嘉兴","设计师Vic_249","112.11.5.117","comos-ircuyvh8608153","2020-04-19 22:58:19"
"5E9C6320-1BDB467F-1BAEC5E7C-95C-86A","只有美国人才配有新闻自由，别人谁敢自由？说抓起你来不是跟你开玩笑，给你戴上个间谍帽有你好看的。","7431020156","山东青岛","用户7431020156","27.219.70.127","comos-ircuyvh8608153","2020-04-19 22:41:37"
"5E9C62C9-657E7A3F-1A0B58AFE-95C-929","令人恶心的特朗普！疯狂不了多久，大家拭目以待。","6991219454","河北石家庄","用户6991219454","101.126.122.63","comos-ircuyvh8608153","2020-04-19 22:40:10"
"5E9C6164-49DE4545-BC266A98-95C-92D","美国已经变成疯狗！杯弓蛇影吓得够呛！！！","3156634264","美国加利福尼亚州","低头埋地雷","73.222.69.69","comos-ircuyvh8608153","2020-04-19 22:34:13"
"5E9C5D93-9D7A401B-45C8D69D-95C-7AA","要公道自在人心何用？人家连公道都不讲","1170790045","广东广州","mattgen_574","157.122.64.27","comos-ircuyvh8608153","2020-04-19 22:17:56"
"5E9C5B95-27800EE4-155AFB89A-95C-7DB","对，公道自在人心！","5732546714","云南昆明","山里人86745","39.128.14.228","comos-ircuyvh8608153","2020-04-19 22:09:26"
"5E9C5A80-718FF5A5-6F5E29FF-95C-8E9","老特的能力比老希差多了。","1868442111","陕西榆林","cyfold","113.143.245.165","comos-ircuyvh8608153","2020-04-19 22:04:48"
"5E9C7D48-B7148761-4B36A59F-95C-8AD","特朗普意思是台湾是中国的一部分，不应该强调来自台湾，你们误会了。。。","1261872543","广东阳江","1234562ee","183.20.135.97","comos-ircuyvh8608153","2020-04-20 00:33:12"
"5E9C795E-65575482-3EA34C86-95C-945","真的有些无赖的样子，无以复加","1050889350","上海","知天命的季节","101.87.84.130","comos-ircuyvh8608153","2020-04-20 00:16:31"
"5E9C72BE-DF685B56-EBFAE514-95C-869","美国人中那么多疯狗，选出这么一条疯狗总统","3959088404","广西","luck39168","223.104.91.86","comos-ircuyvh8608153","2020-04-19 23:48:17"
"5E9C7262-DF484485-3E663BBA-95C-9AC","美国人真的疯了","1046887354","北京","天马365","223.72.68.133","comos-ircuyvh8608153","2020-04-19 23:46:43"
